,Course_instructor_num,Whether_of_not_the_TA_is_a_native_English_speaker_cat,Summer_or_regular_semester_cat
0,23,1,1
1,15,2,1
2,23,1,2
3,5,1,2
4,7,2,2
5,23,2,1
6,9,2,2
7,10,2,2
8,22,1,1
9,15,2,1
10,10,2,2
11,13,2,2
12,18,2,2
13,6,2,2
14,6,2,2
15,6,2,2
16,7,2,2
17,22,2,2
18,13,2,1
19,7,2,2
20,25,2,2
21,25,2,2
22,2,2,2
23,1,2,1
24,15,2,2
25,7,2,2
26,8,2,2
27,14,2,2
28,21,2,2
29,22,2,2
30,11,2,2
31,18,2,2
32,13,2,2
33,13,1,1
34,5,2,2
35,16,2,2
36,4,2,2
37,5,2,2
38,14,2,2
39,23,1,1
40,15,2,1
41,23,1,2
42,5,1,2
43,7,2,2
44,23,2,1
45,9,2,2
46,10,2,2
47,22,1,2
48,15,2,1
49,10,2,2
50,13,2,2
51,18,2,2
52,6,2,2
53,6,2,2
54,6,2,2
55,7,2,2
56,22,2,2
57,13,2,1
58,7,2,2
59,25,2,2
60,25,2,2
61,2,2,2
62,1,2,1
63,15,2,2
64,7,2,2
65,8,2,2
66,14,2,2
67,21,2,2
68,22,2,2
69,11,2,2
70,18,2,2
71,13,2,2
72,13,1,1
73,5,2,2
74,16,2,2
75,4,2,2
76,5,2,2
77,14,2,2
78,23,1,1
79,13,1,1
80,16,2,2
81,9,2,2
82,13,2,1
83,18,2,2
84,22,1,2
85,7,2,1
86,23,2,1
87,23,1,1
88,23,1,2
89,14,2,2
90,17,1,2
91,9,2,2
92,18,2,2
93,17,1,2
94,1,2,2
95,1,2,2
96,11,1,2
97,22,1,2
98,9,2,2
99,13,2,2
100,6,1,2
101,23,2,1
102,23,1,1
103,6,2,2
104,22,1,2
105,20,2,2
106,23,2,2
107,20,2,2
108,23,1,2
109,13,2,2
110,10,2,2
111,7,2,2
112,14,1,2
113,8,2,2
114,12,2,2
115,8,2,2
116,15,2,2
117,23,2,2
118,2,2,2
119,15,2,2
120,20,2,2
121,13,2,2
122,9,2,2
123,10,1,2
124,14,2,2
125,13,1,2
126,8,1,2
127,20,2,2
128,22,2,2
129,18,2,2
130,20,2,2
131,17,1,2
132,14,2,2
133,24,2,2
134,9,2,2
135,12,2,2
136,9,2,2
137,22,2,2
138,7,2,2
139,10,2,2
140,23,2,2
141,17,2,2
142,16,2,2
143,3,2,2
144,19,2,2
145,23,2,2
146,3,2,2
147,10,2,2
148,18,1,2
149,22,2,2
150,2,2,2
