,Summer_or_regular_semester_cat,Whether_of_not_the_TA_is_a_native_English_speaker_cat,Course_num
0,1,1,3
1,1,2,3
2,2,1,3
3,2,1,2
4,2,2,11
5,1,2,3
6,2,2,5
7,2,2,3
8,1,1,3
9,1,2,3
10,2,2,22
11,2,2,1
12,2,2,21
13,2,2,17
14,2,2,17
15,2,2,17
16,2,2,11
17,2,2,3
18,1,2,3
19,2,2,25
20,2,2,7
21,2,2,7
22,2,2,9
23,1,2,15
24,2,2,13
25,2,2,11
26,2,2,3
27,2,2,15
28,2,2,2
29,2,2,3
30,2,2,1
31,2,2,5
32,2,2,1
33,1,1,3
34,2,2,2
35,2,2,8
36,2,2,16
37,2,2,2
38,2,2,15
39,1,1,3
40,1,2,3
41,2,1,3
42,2,1,2
43,2,2,11
44,1,2,3
45,2,2,5
46,2,2,3
47,2,1,3
48,1,2,3
49,2,2,22
50,2,2,1
51,2,2,21
52,2,2,17
53,2,2,17
54,2,2,17
55,2,2,11
56,2,2,3
57,1,2,3
58,2,2,25
59,2,2,7
60,2,2,7
61,2,2,9
62,1,2,15
63,2,2,13
64,2,2,11
65,2,2,3
66,2,2,15
67,2,2,2
68,2,2,3
69,2,2,1
70,2,2,5
71,2,2,1
72,1,1,3
73,2,2,2
74,2,2,8
75,2,2,16
76,2,2,2
77,2,2,15
78,1,1,3
79,1,1,3
80,2,2,19
81,2,2,2
82,1,2,3
83,2,2,21
84,2,1,3
85,1,2,11
86,1,2,3
87,1,1,3
88,2,1,3
89,2,2,22
90,2,1,17
91,2,2,5
92,2,2,25
93,2,1,17
94,2,2,15
95,2,2,8
96,2,1,16
97,2,1,13
98,2,2,2
99,2,2,1
100,2,1,17
101,1,2,3
102,1,1,3
103,2,2,17
104,2,1,3
105,2,2,2
106,2,2,3
107,2,2,2
108,2,1,3
109,2,2,1
110,2,2,3
111,2,2,11
112,2,1,15
113,2,2,3
114,2,2,7
115,2,2,7
116,2,2,1
117,2,2,3
118,2,2,9
119,2,2,1
120,2,2,2
121,2,2,14
122,2,2,6
123,2,1,3
124,2,2,15
125,2,1,1
126,2,1,3
127,2,2,2
128,2,2,1
129,2,2,12
130,2,2,15
131,2,1,18
132,2,2,23
133,2,2,26
134,2,2,24
135,2,2,8
136,2,2,6
137,2,2,1
138,2,2,11
139,2,2,3
140,2,2,3
141,2,2,18
142,2,2,20
143,2,2,2
144,2,2,4
145,2,2,3
146,2,2,2
147,2,2,3
148,2,1,7
149,2,2,1
150,2,2,10
