,DISTANCE_CIRCULARITY_num,SKEWNESS_ABOUT_MINOR_num,MAX.LENGTH_ASPECT_RATIO_num,MAX.LENGTH_RECTANGULARITY_num,CIRCULARITY_num,SKEWNESS_ABOUT_MAJOR_num,RADIUS_RATIO_num,KURTOSIS_ABOUT_MAJOR_num,SCATTER_RATIO_num,COMPACTNESS_num
0,83.0,6.0,10.0,159.0,48.0,70.0,178.0,16.0,162.0,95.0
1,84.0,9.0,9.0,143.0,41.0,72.0,141.0,14.0,149.0,91.0
2,106.0,14.0,10.0,158.0,50.0,73.0,209.0,9.0,207.0,104.0
3,82.0,6.0,9.0,143.0,41.0,63.0,159.0,10.0,144.0,93.0
4,70.0,9.0,52.0,144.0,44.0,127.0,205.0,11.0,149.0,85.0
5,106.0,5.0,6.0,169.0,57.0,85.0,172.0,9.0,255.0,107.0
6,73.0,13.0,6.0,143.0,43.0,66.0,173.0,1.0,153.0,97.0
7,66.0,3.0,9.0,146.0,43.0,67.0,157.0,3.0,137.0,90.0
8,62.0,2.0,7.0,127.0,34.0,64.0,140.0,14.0,122.0,86.0
9,98.0,4.0,11.0,146.0,44.0,64.0,197.0,14.0,183.0,93.0
10,70.0,2.0,9.0,130.0,36.0,66.0,143.0,10.0,133.0,86.0
11,66.0,5.0,6.0,118.0,34.0,65.0,136.0,26.0,123.0,90.0
12,74.0,5.0,6.0,148.0,46.0,71.0,171.0,11.0,152.0,88.0
13,85.0,8.0,10.0,144.0,42.0,72.0,144.0,13.0,152.0,89.0
14,79.0,6.0,5.0,154.0,49.0,71.0,203.0,2.0,174.0,94.0
15,103.0,6.0,9.0,166.0,55.0,74.0,201.0,2.0,204.0,96.0
16,51.0,2.0,6.0,129.0,36.0,80.0,109.0,14.0,118.0,89.0
17,77.0,4.0,6.0,139.0,41.0,72.0,197.0,10.0,177.0,99.0
18,100.0,5.0,10.0,173.0,54.0,74.0,186.0,11.0,216.0,104.0
19,100.0,6.0,10.0,169.0,56.0,74.0,215.0,5.0,208.0,101.0
20,75.0,0.0,6.0,145.0,47.0,75.0,153.0,3.0,154.0,84.0
21,53.0,7.0,5.0,125.0,37.0,82.0,121.0,1.0,123.0,84.0
22,64.0,9.0,7.0,142.0,43.0,68.0,173.0,1.0,150.0,94.0
23,70.0,1.0,7.0,136.0,39.0,69.0,148.0,2.0,143.0,87.0
24,105.0,0.0,11.0,165.0,53.0,68.0,219.0,6.0,204.0,99.0
25,80.0,1.0,9.0,148.0,45.0,71.0,154.0,4.0,147.0,85.0
26,54.0,6.0,6.0,125.0,36.0,82.0,119.0,3.0,128.0,83.0
27,98.0,1.0,11.0,167.0,54.0,72.0,203.0,28.0,218.0,107.0
28,85.0,6.0,6.0,146.0,45.0,76.0,193.0,7.0,192.0,102.0
29,63.0,9.0,7.0,130.0,38.0,83.0,129.0,20.0,146.0,80.0
30,85.0,5.0,11.0,151.0,43.0,72.0,160.0,9.0,155.0,89.0
31,77.0,10.0,8.0,142.0,42.0,64.0,151.0,11.0,140.0,88.0
32,66.0,5.0,6.0,128.0,35.0,64.0,154.0,13.0,142.0,93.0
33,107.0,5.0,10.0,154.0,48.0,70.0,222.0,38.0,208.0,101.0
34,85.0,1.0,8.0,129.0,38.0,63.0,177.0,25.0,164.0,87.0
35,90.0,17.0,9.0,150.0,46.0,67.0,172.0,7.0,157.0,100.0
36,72.0,2.0,7.0,147.0,44.0,82.0,118.0,2.0,152.0,82.0
37,86.0,0.0,49.0,156.0,48.0,118.0,306.0,15.0,153.0,90.0
38,98.0,1.0,10.0,171.0,53.0,74.0,176.0,9.0,216.0,106.0
