,PR.AXIS_RECTANGULARITY_num,RADIUS_RATIO_num,SKEWNESS_ABOUT_MAJOR_num,Class_cat,MAX.LENGTH_RECTANGULARITY_num,PR.AXIS_ASPECT_RATIO_num,DISTANCE_CIRCULARITY_num,COMPACTNESS_num,SCALED_VARIANCE_MINOR_num,SCATTER_RATIO_num
0,20.0,178.0,70.0,van,159.0,72.0,83.0,95.0,379.0,162.0
1,19.0,141.0,72.0,van,143.0,57.0,84.0,91.0,330.0,149.0
2,23.0,209.0,73.0,saab,158.0,66.0,106.0,104.0,635.0,207.0
3,19.0,159.0,63.0,van,143.0,63.0,82.0,93.0,309.0,144.0
4,19.0,205.0,127.0,bus,144.0,103.0,70.0,85.0,325.0,149.0
5,28.0,172.0,85.0,bus,169.0,50.0,106.0,107.0,957.0,255.0
6,19.0,173.0,66.0,bus,143.0,65.0,73.0,97.0,361.0,153.0
7,18.0,157.0,67.0,van,146.0,65.0,66.0,90.0,281.0,137.0
8,17.0,140.0,64.0,van,127.0,61.0,62.0,86.0,223.0,122.0
9,22.0,197.0,64.0,saab,146.0,62.0,98.0,93.0,505.0,183.0
10,18.0,143.0,66.0,van,130.0,61.0,70.0,86.0,266.0,133.0
11,17.0,136.0,65.0,saab,118.0,55.0,66.0,90.0,224.0,123.0
12,19.0,171.0,71.0,bus,148.0,68.0,74.0,88.0,349.0,152.0
13,19.0,144.0,72.0,van,144.0,58.0,85.0,89.0,345.0,152.0
14,21.0,203.0,71.0,bus,154.0,71.0,79.0,94.0,465.0,174.0
15,23.0,201.0,74.0,opel,166.0,65.0,103.0,96.0,624.0,204.0
16,17.0,109.0,80.0,van,129.0,52.0,51.0,89.0,206.0,118.0
17,21.0,197.0,72.0,bus,139.0,69.0,77.0,99.0,485.0,177.0
18,24.0,186.0,74.0,saab,173.0,61.0,100.0,104.0,686.0,216.0
19,24.0,215.0,74.0,opel,169.0,69.0,100.0,101.0,651.0,208.0
20,19.0,153.0,75.0,bus,145.0,64.0,75.0,84.0,354.0,154.0
21,17.0,121.0,82.0,van,125.0,59.0,53.0,84.0,221.0,123.0
22,19.0,173.0,68.0,bus,142.0,69.0,64.0,94.0,344.0,150.0
23,18.0,148.0,69.0,bus,136.0,61.0,70.0,87.0,307.0,143.0
24,23.0,219.0,68.0,saab,165.0,66.0,105.0,99.0,623.0,204.0
25,19.0,154.0,71.0,van,148.0,64.0,80.0,85.0,324.0,147.0
26,18.0,119.0,82.0,saab,125.0,57.0,54.0,83.0,238.0,128.0
27,25.0,203.0,72.0,saab,167.0,65.0,98.0,107.0,696.0,218.0
28,22.0,193.0,76.0,bus,146.0,64.0,85.0,102.0,570.0,192.0
29,19.0,129.0,83.0,saab,130.0,55.0,63.0,80.0,314.0,146.0
30,19.0,160.0,72.0,van,151.0,64.0,85.0,89.0,356.0,155.0
31,18.0,151.0,64.0,saab,142.0,58.0,77.0,88.0,293.0,140.0
32,18.0,154.0,64.0,opel,128.0,59.0,66.0,93.0,304.0,142.0
33,24.0,222.0,70.0,opel,154.0,68.0,107.0,101.0,641.0,208.0
34,20.0,177.0,63.0,opel,129.0,61.0,85.0,87.0,402.0,164.0
35,20.0,172.0,67.0,van,150.0,67.0,90.0,100.0,363.0,157.0
36,19.0,118.0,82.0,bus,147.0,52.0,72.0,82.0,340.0,152.0
37,19.0,306.0,118.0,van,156.0,126.0,86.0,90.0,346.0,153.0
38,24.0,176.0,74.0,saab,171.0,54.0,98.0,106.0,691.0,216.0
39,19.0,169.0,75.0,bus,146.0,73.0,68.0,81.0,336.0,151.0
40,23.0,214.0,74.0,opel,151.0,67.0,104.0,95.0,628.0,205.0
41,17.0,105.0,86.0,van,128.0,52.0,51.0,88.0,207.0,119.0
42,20.0,137.0,75.0,van,162.0,54.0,87.0,94.0,366.0,158.0
43,20.0,183.0,67.0,saab,134.0,63.0,76.0,93.0,405.0,164.0
44,24.0,220.0,66.0,saab,167.0,65.0,106.0,119.0,675.0,213.0
45,20.0,145.0,77.0,van,160.0,58.0,82.0,93.0,371.0,159.0
46,18.0,133.0,70.0,van,146.0,55.0,70.0,91.0,253.0,130.0
47,19.0,122.0,88.0,bus,141.0,54.0,66.0,85.0,317.0,148.0
48,20.0,147.0,76.0,van,163.0,64.0,81.0,89.0,352.0,156.0
49,20.0,176.0,62.0,saab,148.0,59.0,79.0,91.0,404.0,163.0
50,19.0,115.0,77.0,saab,130.0,51.0,63.0,78.0,299.0,142.0
51,19.0,174.0,70.0,saab,133.0,66.0,71.0,92.0,355.0,154.0
52,24.0,228.0,72.0,opel,168.0,70.0,101.0,98.0,661.0,210.0
53,19.0,175.0,65.0,bus,139.0,67.0,62.0,101.0,341.0,149.0
54,28.0,185.0,83.0,bus,168.0,53.0,104.0,101.0,956.0,257.0
55,18.0,151.0,62.0,van,135.0,61.0,66.0,94.0,265.0,133.0
56,22.0,195.0,66.0,saab,144.0,63.0,96.0,97.0,512.0,185.0
57,20.0,133.0,74.0,van,160.0,55.0,84.0,89.0,354.0,157.0
58,24.0,221.0,66.0,opel,163.0,66.0,103.0,107.0,653.0,209.0
59,18.0,119.0,75.0,van,135.0,52.0,68.0,85.0,241.0,128.0
60,22.0,212.0,64.0,opel,161.0,63.0,98.0,103.0,567.0,193.0
61,18.0,135.0,79.0,opel,130.0,59.0,63.0,77.0,247.0,130.0
62,18.0,120.0,80.0,van,141.0,50.0,70.0,96.0,269.0,137.0
63,19.0,156.0,78.0,bus,144.0,67.0,66.0,83.0,333.0,150.0
64,22.0,201.0,72.0,bus,145.0,69.0,86.0,93.0,523.0,184.0
65,19.0,143.0,76.0,opel,137.0,56.0,75.0,89.0,317.0,146.0
66,19.0,125.0,83.0,bus,146.0,57.0,68.0,81.0,323.0,149.0
67,25.0,219.0,74.0,opel,178.0,69.0,101.0,98.0,748.0,225.0
68,18.0,164.0,70.0,van,147.0,68.0,78.0,86.0,305.0,142.0
69,22.0,219.0,74.0,bus,154.0,74.0,84.0,98.0,558.0,190.0
70,24.0,161.0,76.0,opel,175.0,54.0,98.0,96.0,683.0,215.0
71,25.0,227.0,70.0,opel,186.0,70.0,108.0,97.0,732.0,224.0
