,field_goal_attempts_num,year_num,field_goals_num
0,10,85,3
1,13,85,7
2,11,85,5
3,23,85,12
4,13,85,7
5,4,85,0
6,5,85,2
7,8,85,2
8,9,85,2
9,6,85,4
10,6,85,1
11,16,85,11
12,13,85,5
13,24,85,14
14,11,85,3
15,18,85,10
16,20,85,10
17,8,85,4
18,7,85,3
19,16,85,10
20,14,85,8
21,7,85,2
22,15,85,7
23,12,85,6
24,16,85,9
25,11,85,2
26,23,85,11
27,12,85,3
28,9,85,4
29,4,85,1
30,16,85,6
31,7,85,2
32,11,85,4
33,16,85,7
34,15,85,7
35,17,85,8
36,14,85,7
37,19,85,11
38,13,85,6
39,13,85,7
40,9,85,5
41,15,85,8
42,19,85,10
43,13,85,4
44,10,85,5
45,8,85,6
46,14,85,5
47,14,85,4
48,11,85,6
49,16,85,11
50,18,85,12
51,10,85,3
52,12,85,7
53,12,85,5
54,16,85,11
55,9,85,1
56,13,85,6
57,8,85,4
58,10,85,5
59,15,85,7
60,9,85,3
61,16,85,6
62,10,85,5
63,10,85,6
64,13,85,6
65,6,85,2
66,10,85,4
67,7,85,1
68,15,85,9
69,22,85,10
70,12,85,5
71,16,85,8
72,16,85,3
73,17,85,8
74,7,85,3
75,12,85,7
76,15,85,9
77,19,85,10
78,10,85,2
79,19,85,8
80,17,85,9
81,10,85,4
82,3,85,1
83,13,86,7
84,15,86,5
85,17,86,11
86,16,86,9
87,14,86,6
88,17,86,7
89,20,86,9
90,4,86,1
91,22,86,9
92,17,86,10
93,21,86,11
94,12,86,6
95,17,86,9
96,12,86,5
97,16,86,9
98,17,86,10
99,14,86,6
100,16,86,12
101,7,86,4
102,14,86,7
103,14,86,7
104,12,86,5
105,18,86,10
106,10,86,3
107,15,86,6
108,14,86,7
109,13,86,5
110,16,86,5
111,9,86,3
112,16,86,8
113,16,86,8
114,17,86,10
115,17,86,8
116,18,86,7
117,10,86,3
118,13,86,3
119,10,86,8
120,15,86,7
121,14,86,8
122,11,86,6
123,12,86,3
124,22,86,11
125,14,86,9
126,20,86,10
127,21,86,8
128,13,86,6
129,9,86,2
130,13,86,5
131,17,86,6
132,7,86,4
133,12,86,4
134,15,86,7
135,6,86,1
136,21,86,13
137,18,86,7
138,16,86,10
139,13,86,8
140,10,86,4
141,8,86,2
142,19,86,12
143,11,86,3
144,14,86,6
145,16,86,7
146,10,86,3
147,17,86,7
148,25,86,15
149,11,86,3
150,25,86,9
151,16,86,10
152,21,86,7
153,11,86,4
154,15,86,7
155,13,86,7
156,15,86,7
157,20,86,9
158,15,86,6
159,18,86,7
160,16,86,4
161,13,86,6
162,18,86,6
163,16,86,8
164,13,86,5
165,14,86,6
166,8,86,2
167,9,86,2
168,14,86,6
169,15,86,7
170,11,86,7
171,16,86,6
172,20,86,12
173,13,86,8
174,15,86,9
175,12,86,5
176,14,87,6
177,14,87,6
178,13,87,5
179,19,87,13
180,14,87,6
181,18,87,9
182,16,87,9
