,handicapped-infants_cat,water-project-cost-sharing_cat,adoption-of-the-budget-resolution_cat,physician-fee-freeze_cat,el-salvador-aid_cat,religious-groups-in-schools_cat,anti-satellite-test-ban_cat,aid-to-nicaraguan-contras_cat,mx-missile_cat,immigration_cat,synfuels-corporation-cutback_cat,education-spending_cat,superfund-right-to-sue_cat,crime_cat,duty-free-exports_cat,export-administration-act-south-africa_cat,Class_cat
0,n,y,n,y,y,y,n,n,n,y,,y,y,y,n,y,republican
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,,republican
2,,y,y,,y,y,n,n,n,n,y,n,y,y,n,n,democrat
3,n,y,y,n,,y,n,n,n,n,y,n,y,n,n,y,democrat
4,y,y,y,n,y,y,n,n,n,n,y,,y,y,y,y,democrat
5,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
6,n,y,n,y,y,y,n,n,n,n,n,n,,y,y,y,democrat
7,n,y,n,y,y,y,n,n,n,n,n,n,y,y,,y,republican
8,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
9,y,y,y,n,n,n,y,y,y,n,n,n,n,n,,,democrat
10,n,y,n,y,y,n,n,n,n,n,,,y,y,n,n,republican
11,n,y,n,y,y,y,n,n,n,n,y,,y,y,,,republican
12,n,y,y,n,n,n,y,y,y,n,n,n,y,n,,,democrat
13,y,y,y,n,n,y,y,y,,y,y,,n,n,y,,democrat
14,n,y,n,y,y,y,n,n,n,n,n,y,,,n,,republican
15,n,y,n,y,y,y,n,n,n,y,n,y,y,,n,,republican
16,y,n,y,n,n,y,n,y,,y,y,y,,n,n,y,democrat
17,y,,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
18,n,y,n,y,y,y,n,n,n,n,n,,y,y,n,n,republican
19,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
20,y,y,y,n,n,,y,y,n,n,y,n,n,n,y,y,democrat
21,y,y,y,n,n,n,y,y,y,n,n,n,,,y,y,democrat
22,y,,y,n,n,n,y,y,y,n,n,,n,n,y,y,democrat
23,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
24,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
25,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
26,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
27,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
28,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
29,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
30,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
31,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,,democrat
32,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
33,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
34,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
35,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
36,y,,n,y,y,y,n,n,n,y,n,y,,y,n,y,republican
37,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
38,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
39,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
40,y,y,y,n,n,n,y,y,y,n,,n,n,n,n,,democrat
41,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
42,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
44,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,,democrat
45,y,y,y,n,n,n,y,y,,n,y,n,n,n,y,,democrat
46,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
47,y,n,y,n,n,n,y,y,,n,n,n,n,n,n,,democrat
48,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,democrat
49,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
50,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
51,n,y,n,y,y,y,n,,n,n,n,y,y,y,n,y,republican
52,y,y,y,n,n,n,y,y,y,n,n,n,n,n,,,democrat
53,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
54,y,y,y,n,n,y,,y,n,n,y,y,n,y,n,,democrat
55,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
56,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
57,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,,republican
60,y,y,y,n,n,,y,y,y,y,n,n,n,n,y,,democrat
61,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
62,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,,democrat
63,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
64,y,y,y,n,n,n,y,y,y,n,y,,n,n,n,y,democrat
65,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
66,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,republican
67,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
68,y,,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
69,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
70,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,,democrat
71,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,republican
72,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,,democrat
73,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,republican
74,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,democrat
75,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n,democrat
76,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,,democrat
77,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,democrat
78,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,democrat
79,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,republican
80,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,,democrat
81,y,n,y,n,n,n,y,y,,y,y,y,n,y,n,y,democrat
82,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
83,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
84,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
85,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
86,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
