,adoption-of-the-budget-resolution_cat,superfund-right-to-sue_cat,anti-satellite-test-ban_cat,water-project-cost-sharing_cat,religious-groups-in-schools_cat,immigration_cat,physician-fee-freeze_cat,handicapped-infants_cat
0,n,y,n,y,y,y,y,n
1,n,y,n,y,y,n,y,n
2,y,y,n,y,y,n,,
3,y,y,n,y,y,n,n,n
4,y,y,n,y,y,n,n,y
5,y,y,n,y,y,n,n,n
6,n,,n,y,y,n,y,n
7,n,y,n,y,y,n,y,n
8,n,y,n,y,y,n,y,n
9,y,n,y,y,n,n,n,y
10,n,y,n,y,n,n,y,n
11,n,y,n,y,y,n,y,n
12,y,y,y,y,n,n,n,n
13,y,n,y,y,y,y,n,y
14,n,,n,y,y,n,y,n
15,n,y,n,y,y,y,y,n
16,y,,n,n,y,y,n,y
17,y,y,y,,n,n,n,y
18,n,y,n,y,y,n,y,n
19,y,n,y,y,n,n,n,y
20,y,n,y,y,,n,n,y
21,y,,y,y,n,n,n,y
22,y,n,y,,n,n,n,y
23,y,n,y,y,n,n,n,y
24,y,n,y,n,n,n,n,y
25,y,n,y,n,n,y,n,y
26,y,n,y,n,n,n,n,y
27,y,n,y,y,n,n,n,y
28,n,y,y,n,n,n,y,y
29,y,n,y,y,n,n,n,y
30,n,y,n,y,y,n,y,n
31,y,n,y,y,n,n,n,y
32,y,y,y,y,n,y,n,y
33,n,y,n,y,y,n,y,n
34,y,n,y,y,n,n,n,y
35,n,y,n,y,y,n,y,n
36,n,,n,,y,y,y,y
37,n,y,n,y,y,n,y,y
38,n,y,n,y,y,y,y,n
39,y,y,y,n,n,y,n,y
40,y,n,y,y,n,n,n,y
41,y,n,y,y,n,n,n,y
42,y,n,y,n,n,n,n,y
43,y,n,y,n,n,n,n,y
44,y,n,y,y,n,n,n,y
45,y,n,y,y,n,n,n,y
46,y,n,y,y,n,n,n,y
47,y,n,y,n,n,n,n,y
48,y,n,y,y,n,n,n,y
49,n,y,n,,y,n,y,n
50,y,n,y,y,n,n,n,y
51,n,y,n,y,y,n,y,n
52,y,n,y,y,n,n,n,y
53,n,y,n,y,y,y,y,y
54,y,n,,y,y,n,n,y
55,n,y,n,y,y,y,y,n
56,n,y,n,y,y,y,y,n
57,n,y,n,y,y,y,y,n
58,n,y,n,y,y,y,y,n
59,n,y,n,y,y,y,y,n
60,y,n,y,y,,y,n,y
61,n,y,n,y,y,n,y,n
62,y,n,y,y,n,n,n,y
63,y,n,y,y,n,n,n,y
64,y,n,y,y,n,n,n,y
65,n,y,y,y,y,n,y,y
66,n,y,y,y,y,n,y,n
67,n,y,n,y,y,y,y,n
68,y,y,y,,n,n,n,y
69,y,n,y,y,n,n,n,y
70,y,y,y,n,n,n,n,y
71,y,n,y,y,n,y,y,y
72,y,n,y,y,n,n,n,y
73,y,y,y,n,n,y,y,y
74,y,n,y,n,y,y,n,y
75,y,y,n,y,y,y,y,n
76,y,y,n,y,y,y,n,n
77,y,y,n,y,y,y,y,n
78,y,y,n,y,y,y,n,y
79,n,y,n,n,n,y,y,n
80,y,n,y,n,y,y,n,y
81,y,n,y,n,n,y,n,y
82,n,y,n,n,y,y,y,n
83,n,y,n,n,y,n,y,n
84,n,y,n,,y,y,y,n
