,education-spending_cat,physician-fee-freeze_cat,el-salvador-aid_cat,Class_cat,mx-missile_cat,adoption-of-the-budget-resolution_cat,handicapped-infants_cat,immigration_cat
0,y,y,y,republican,n,n,n,y
1,y,y,y,republican,n,n,n,n
2,n,,y,democrat,n,y,,n
3,n,n,,democrat,n,y,n,n
4,,n,y,democrat,n,y,y,n
5,n,n,y,democrat,n,y,n,n
6,n,y,y,democrat,n,n,n,n
7,n,y,y,republican,n,n,n,n
8,y,y,y,republican,n,n,n,n
9,n,n,n,democrat,y,y,y,n
10,,y,y,republican,n,n,n,n
11,,y,y,republican,n,n,n,n
12,n,n,n,democrat,y,y,n,n
13,,n,n,democrat,,y,y,y
14,y,y,y,republican,n,n,n,n
15,y,y,y,republican,n,n,n,y
16,y,n,n,democrat,,y,y,y
17,n,n,n,democrat,y,y,y,n
18,,y,y,republican,n,n,n,n
19,n,n,n,democrat,y,y,y,n
20,n,n,n,democrat,n,y,y,n
21,n,n,n,democrat,y,y,y,n
22,,n,n,democrat,y,y,y,n
23,n,n,n,democrat,y,y,y,n
24,n,n,n,democrat,y,y,y,n
25,n,n,n,democrat,y,y,y,y
26,n,n,n,democrat,y,y,y,n
27,n,n,n,democrat,y,y,y,n
28,y,y,y,republican,y,n,y,n
29,n,n,n,democrat,y,y,y,n
30,y,y,y,republican,n,n,n,n
31,n,n,n,democrat,y,y,y,n
32,n,n,n,democrat,y,y,y,y
33,y,y,y,republican,n,n,n,n
34,n,n,n,democrat,y,y,y,n
35,y,y,y,republican,n,n,n,n
36,y,y,y,republican,n,n,y,y
37,n,y,y,republican,n,n,y,n
38,y,y,y,republican,n,n,n,y
39,n,n,n,democrat,y,y,y,y
40,n,n,n,democrat,y,y,y,n
41,n,n,n,democrat,y,y,y,n
42,n,n,n,democrat,y,y,y,n
43,n,n,n,democrat,y,y,y,n
44,n,n,n,democrat,y,y,y,n
45,n,n,n,democrat,,y,y,n
46,n,n,n,democrat,y,y,y,n
47,n,n,n,democrat,,y,y,n
48,n,n,n,democrat,n,y,y,n
49,y,y,y,republican,n,n,n,n
50,n,n,n,democrat,y,y,y,n
51,y,y,y,republican,n,n,n,n
52,n,n,n,democrat,y,y,y,n
53,y,y,y,republican,n,n,y,y
