,x27_num,x9_num,x14_num,class_cat,x2_num,x30_num,x13_num,x36_num,x17_num,x37_num,x38_num,x29_num,x24_num,x12_num,x16_num,x1_num,x33_num,x23_num,x25_num,x19_num
0,0.02,1.34,5.82,2,-1.21,-0.47,4.65,-0.13,2.25,-0.87,0.56,-0.11,-0.23,2.3,3.16,-0.23,-0.7,1.22,-0.14,0.82
1,0.13,2.33,5.01,0,0.38,2.36,3.08,0.71,2.23,0.04,0.91,-0.78,0.45,3.7,3.4,0.38,1.4,-0.4,-1.32,2.15
2,0.07,5.48,-1.04,1,1.0,-0.12,2.35,2.17,-0.8,0.18,-0.09,0.41,1.21,1.68,-0.87,-0.69,1.12,0.57,-1.64,0.35
3,0.1,0.11,4.88,0,0.68,-0.34,3.51,-0.75,2.72,1.11,1.35,3.1,0.57,4.41,5.71,0.4,-0.3,1.12,1.12,1.94
4,1.19,5.6,2.4,1,1.59,-0.29,2.51,1.48,2.09,-0.02,-0.58,-1.43,0.19,1.58,0.34,-0.81,0.14,0.75,0.31,-2.47
5,0.34,4.08,2.47,1,0.77,-0.65,3.45,-1.04,-0.07,0.43,-1.82,2.23,-0.42,4.43,0.14,0.59,-0.29,-1.22,-1.27,-1.09
6,0.14,3.81,0.7,0,0.13,0.84,-1.43,0.44,-1.0,0.31,-0.45,-1.17,1.23,1.78,1.9,-0.15,-0.78,-0.61,-0.19,0.37
7,-0.19,2.96,2.72,2,-0.42,0.68,5.46,-1.96,1.79,1.26,-0.72,0.15,0.26,5.69,2.12,-0.3,0.28,0.56,2.06,1.19
8,0.54,3.95,-1.19,0,2.71,0.06,1.53,-0.27,0.01,1.9,1.14,1.07,0.37,-0.3,1.42,-1.45,0.07,0.63,0.81,-0.0
9,0.29,2.38,3.7,2,0.97,0.78,4.14,-0.41,4.91,-0.48,-0.37,-0.86,-0.92,5.12,3.86,0.28,1.52,0.19,-0.83,2.18
10,0.13,5.13,1.26,1,-0.44,1.58,1.02,-0.05,-0.55,0.76,0.44,1.26,-0.16,2.83,0.1,-1.09,0.77,1.37,3.17,0.96
11,1.29,1.98,3.19,2,-1.23,0.05,3.85,1.74,3.24,-0.37,-0.25,-0.4,0.48,3.97,3.03,0.5,-0.52,0.67,1.03,3.17
12,-0.72,1.48,4.65,2,-0.44,-0.35,5.38,1.12,-0.71,-0.32,-0.43,-0.67,-2.03,4.73,0.71,-0.23,0.78,0.35,-1.05,0.67
13,1.02,3.53,3.47,2,-1.04,0.67,5.79,-0.02,-0.05,2.14,1.49,-0.5,-1.31,4.94,3.28,-1.2,0.25,-0.5,-0.69,-1.89
14,0.54,0.66,4.04,2,0.8,-0.3,4.06,-0.16,4.51,-1.42,0.53,-0.75,0.45,3.46,3.98,-0.53,0.59,0.48,-1.96,2.32
15,0.68,2.04,2.54,2,-0.27,-0.74,5.06,0.43,2.18,0.18,-0.2,-1.19,-1.31,5.12,1.9,-0.17,0.08,-0.75,1.1,-0.1
16,0.22,1.64,3.62,2,1.69,-0.63,4.2,-0.33,1.72,-1.66,-0.73,-0.55,0.21,5.64,2.27,0.58,-1.72,0.48,2.26,1.87
17,0.07,1.59,4.71,2,-1.26,-1.44,2.54,0.59,3.19,0.8,0.35,-0.27,-0.1,3.71,2.89,-1.06,-0.01,-0.71,-0.95,2.19
18,-1.61,4.27,0.03,1,1.31,-0.44,1.04,0.09,-0.73,-0.96,-0.38,1.62,-0.8,3.2,2.25,1.86,-0.47,1.81,0.99,0.49
19,0.23,2.9,3.33,0,1.01,-1.07,3.07,0.7,1.65,-0.12,-1.96,-0.71,-0.16,2.96,2.98,0.15,-0.09,0.62,0.05,0.45
20,0.56,1.97,3.31,2,-1.42,-0.51,3.07,1.12,-0.47,1.46,1.05,0.28,0.46,5.66,0.13,0.25,-1.14,-0.16,0.52,-1.94
21,0.53,1.67,3.33,0,0.08,-0.29,2.82,-1.13,1.64,-0.16,-1.52,-1.26,-1.22,1.53,2.05,0.49,1.0,0.31,-2.15,0.45
