,mcg_num,gvh_num,alm_num,mit_num,erl_num,pox_num,vac_num,nuc_num,class_protein_localization_cat
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,MIT
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,MIT
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,MIT
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,NUC
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,MIT
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,MIT
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,NUC
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,MIT
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,CYT
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,NUC
11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,NUC
12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,CYT
13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,MIT
14,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,MIT
15,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,CYT
16,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,CYT
17,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,NUC
18,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,NUC
19,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,NUC
20,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,CYT
21,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,CYT
22,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,CYT
23,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,CYT
24,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,CYT
25,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,MIT
26,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,CYT
27,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,CYT
28,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,MIT
29,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,ME1
30,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,NUC
31,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,MIT
32,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,CYT
33,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,NUC
34,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,ME1
35,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,EXC
36,0.72,0.61,0.45,0.3,0.5,0.0,0.54,0.25,MIT
37,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,CYT
38,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,MIT
