,type_cat,hair_cat,feathers_cat,eggs_cat,milk_cat,airborne_cat,aquatic_cat,predator_cat,toothed_cat,backbone_cat,breathes_cat,venomous_cat,fins_cat,legs_num,tail_cat,domestic_cat,catsize_cat
0,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,False,False,True
1,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True
2,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False
3,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,False,False,True
4,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
5,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True
6,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True
7,fish,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,True,False
8,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False
9,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,False,True,False
10,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
11,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,True,False
12,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False
13,invertebrate,False,False,True,False,False,False,True,False,False,False,False,False,0.0,False,False,False
14,invertebrate,False,False,True,False,False,True,True,False,False,False,False,False,4.0,False,False,False
15,invertebrate,False,False,True,False,False,True,True,False,False,False,False,False,6.0,False,False,False
16,bird,False,True,True,False,True,False,True,False,True,True,False,False,2.0,True,False,False
17,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True
18,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,True
19,mammal,False,False,False,True,False,True,True,True,True,True,False,True,0.0,True,False,True
20,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,True,False
21,bird,False,True,True,False,True,True,False,False,True,True,False,False,2.0,True,False,False
22,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True
23,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,True
24,insect,False,False,True,False,False,False,False,False,False,True,False,False,6.0,False,False,False
25,amphibian,False,False,True,False,False,True,True,True,True,True,False,False,4.0,False,False,False
26,amphibian,False,False,True,False,False,True,True,True,True,True,True,False,4.0,False,False,False
27,mammal,True,False,False,True,True,False,False,True,True,True,False,False,2.0,True,False,False
28,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True
29,mammal,True,False,False,True,False,False,True,True,True,True,False,False,2.0,False,True,True
30,insect,False,False,True,False,True,False,False,False,False,True,False,False,6.0,False,False,False
31,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True
32,mammal,True,False,False,True,False,False,False,True,True,True,False,False,2.0,False,False,True
33,bird,False,True,True,False,True,True,True,False,True,True,False,False,2.0,True,False,False
34,fish,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,False,False
35,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,False
36,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,False
37,bird,False,True,True,False,True,False,True,False,True,True,False,False,2.0,True,False,False
38,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False
39,insect,True,False,True,False,True,False,False,False,False,True,True,False,6.0,False,True,False
40,insect,True,False,True,False,True,False,False,False,False,True,False,False,6.0,False,False,False
41,bird,False,True,True,False,False,False,True,False,True,True,False,False,2.0,True,False,False
42,insect,False,False,True,False,True,False,True,False,False,True,False,False,6.0,False,False,False
43,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False
44,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
45,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
46,invertebrate,False,False,True,False,False,True,True,False,False,False,False,False,6.0,False,False,False
47,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
48,mammal,True,False,False,True,False,True,True,True,True,True,False,False,4.0,True,False,True
49,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,False
50,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
51,insect,True,False,True,False,True,False,False,False,False,True,False,False,6.0,False,False,False
52,amphibian,False,False,True,False,False,True,True,True,True,True,False,False,4.0,True,False,False
53,invertebrate,False,False,True,False,False,True,True,False,False,False,False,False,8.0,False,False,True
54,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,False
55,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,True
56,bird,False,True,True,False,False,False,False,False,True,True,False,False,2.0,True,False,True
