,fins_cat,milk_cat,airborne_cat,type_cat,backbone_cat,eggs_cat,hair_cat,breathes_cat
0,False,True,False,mammal,True,False,True,True
1,False,True,False,mammal,True,False,True,True
2,True,False,False,fish,True,True,False,False
3,False,True,False,mammal,True,False,True,True
4,False,True,False,mammal,True,False,True,True
5,False,True,False,mammal,True,False,True,True
6,False,True,False,mammal,True,False,True,True
7,True,False,False,fish,True,True,False,False
8,True,False,False,fish,True,True,False,False
9,False,True,False,mammal,True,False,True,True
10,False,True,False,mammal,True,False,True,True
11,False,False,True,bird,True,True,False,True
12,True,False,False,fish,True,True,False,False
13,False,False,False,invertebrate,False,True,False,False
14,False,False,False,invertebrate,False,True,False,False
15,False,False,False,invertebrate,False,True,False,False
16,False,False,True,bird,True,True,False,True
17,False,True,False,mammal,True,False,True,True
18,True,False,False,fish,True,True,False,False
19,True,True,False,mammal,True,False,False,True
20,False,False,True,bird,True,True,False,True
21,False,False,True,bird,True,True,False,True
22,False,True,False,mammal,True,False,True,True
23,False,False,True,bird,True,True,False,True
24,False,False,False,insect,False,True,False,True
25,False,False,False,amphibian,True,True,False,True
26,False,False,False,amphibian,True,True,False,True
27,False,True,True,mammal,True,False,True,True
28,False,True,False,mammal,True,False,True,True
29,False,True,False,mammal,True,False,True,True
30,False,False,True,insect,False,True,False,True
31,False,True,False,mammal,True,False,True,True
32,False,True,False,mammal,True,False,True,True
33,False,False,True,bird,True,True,False,True
34,True,False,False,fish,True,True,False,False
35,False,True,False,mammal,True,False,True,True
36,False,True,False,mammal,True,False,True,True
37,False,False,True,bird,True,True,False,True
38,True,False,False,fish,True,True,False,False
39,False,False,True,insect,False,True,True,True
40,False,False,True,insect,False,True,True,True
41,False,False,False,bird,True,True,False,True
42,False,False,True,insect,False,True,False,True
43,False,False,True,bird,True,True,False,True
44,False,True,False,mammal,True,False,True,True
45,False,True,False,mammal,True,False,True,True
46,False,False,False,invertebrate,False,True,False,False
47,False,True,False,mammal,True,False,True,True
48,False,True,False,mammal,True,False,True,True
49,False,True,False,mammal,True,False,True,True
50,False,True,False,mammal,True,False,True,True
51,False,False,True,insect,False,True,True,True
52,False,False,False,amphibian,True,True,False,True
53,False,False,False,invertebrate,False,True,False,False
54,False,True,False,mammal,True,False,True,True
55,False,True,False,mammal,True,False,True,True
56,False,False,False,bird,True,True,False,True
57,False,False,True,bird,True,True,False,True
58,False,False,False,bird,True,True,False,True
59,False,False,True,bird,True,True,False,True
60,True,False,False,fish,True,True,False,False
61,True,False,False,fish,True,True,False,False
62,False,False,False,reptile,True,True,False,True
63,False,True,False,mammal,True,True,True,True
64,False,True,False,mammal,True,False,True,True
65,False,True,False,mammal,True,False,True,True
66,True,True,False,mammal,True,False,False,True
67,False,True,False,mammal,True,False,True,True
68,False,True,False,mammal,True,False,True,True
69,False,True,False,mammal,True,False,True,True
70,False,True,False,mammal,True,False,True,True
71,False,False,False,bird,True,True,False,True
72,False,False,False,invertebrate,False,False,False,True
73,True,False,False,fish,True,True,False,False
74,True,True,False,mammal,True,False,True,True
75,True,True,False,mammal,True,False,True,True
76,False,False,False,reptile,True,False,False,False
77,False,False,False,invertebrate,False,True,False,False
78,False,False,True,bird,True,True,False,True
79,False,False,True,bird,True,True,False,True
80,False,False,False,reptile,True,True,False,True
81,False,False,False,invertebrate,False,True,False,True
82,True,False,False,fish,True,True,False,False
83,False,False,True,bird,True,True,False,True
84,False,True,False,mammal,True,False,True,True
85,False,False,False,invertebrate,False,True,False,False
86,True,False,False,fish,True,True,False,False
87,False,False,True,bird,True,True,False,True
88,False,False,False,insect,False,True,False,True
89,False,False,False,amphibian,True,True,False,True
90,False,False,False,reptile,True,True,False,True
91,False,False,False,reptile,True,True,False,True
92,True,False,False,fish,True,True,False,False
93,False,True,True,mammal,True,False,True,True
94,False,True,False,mammal,True,False,True,True
95,False,False,True,bird,True,True,False,True
96,False,True,False,mammal,True,False,True,True
97,False,False,True,insect,False,True,True,True
98,False,True,False,mammal,True,False,True,True
99,False,False,False,invertebrate,False,True,False,True
100,False,False,True,bird,True,True,False,True
