,Bills_num,Party_cat,Favorable_num
0,10,R,1
1,10,R,1
2,10,R,2
3,10,R,2
4,8,R,2
5,10,R,2
6,9,R,2
7,10,D,10
8,10,D,10
9,10,D,10
10,10,R,2
11,10,R,1
12,10,D,10
13,10,D,9
14,10,R,2
15,10,D,10
16,10,D,10
17,10,R,1
18,10,R,1
19,10,D,10
20,10,D,10
21,10,D,10
22,10,R,2
23,9,R,2
24,10,R,4
25,10,D,10
26,10,R,3
27,10,D,10
28,10,R,2
29,10,D,10
30,9,R,1
31,10,R,2
32,10,R,2
33,10,R,1
34,10,D,10
35,10,D,10
36,10,R,4
37,10,R,5
38,10,D,10
39,10,D,10
40,10,D,10
41,10,D,10
42,10,D,10
43,10,R,3
44,10,D,9
45,10,R,1
46,10,R,2
47,10,R,2
48,10,R,1
49,10,R,2
50,10,D,9
51,10,R,1
52,10,D,10
53,10,R,2
54,10,D,10
55,10,D,10
56,10,I,1
57,9,R,2
58,10,D,10
59,10,D,10
60,10,R,2
61,10,D,10
62,10,D,10
63,10,D,10
64,10,R,1
65,10,D,10
66,10,D,10
67,10,D,9
68,10,R,3
69,10,R,5
70,10,R,1
71,10,R,1
72,10,D,10
73,10,R,2
74,10,R,5
75,10,R,3
76,9,R,4
77,10,D,10
78,10,R,2
79,10,D,10
80,10,D,10
81,10,D,10
82,10,R,1
83,10,R,2
84,10,R,1
85,10,R,2
86,10,R,2
87,10,R,2
88,10,D,10
89,10,R,3
90,10,R,3
91,10,D,9
92,10,R,3
93,9,D,9
94,10,D,8
95,10,D,10
96,10,D,10
97,10,D,10
98,10,R,1
99,10,R,1
