,binaryClass_cat,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num
0,P,34.653,60.6355,13.86,14.712,17.96,15.753,18.387
1,P,6.677,47.6745,14.183,15.071,19.424,17.2285,17.1905
2,N,13.872,11.9515,19.169,24.349,17.781,18.2385,16.203
3,N,14.125,27.842,26.438,12.752,14.542,18.358,17.074
4,N,42.508,15.485,14.8085,13.1935,14.411,15.3065,18.376
5,P,16.866,9.3045,11.7695,16.217,15.736,16.054,16.7805
6,N,16.965,20.1515,21.7415,15.636,17.508,17.0955,16.583
7,P,28.651,11.2575,11.8375,15.6565,17.949,19.0215,17.1905
8,P,19.907,21.5985,22.2135,15.39,14.532,16.8,16.815
9,P,17.352,21.2885,18.326,18.104,15.618,15.7445,17.266
10,P,8.344,13.733,11.2455,15.703,15.437,16.6505,16.4315
11,N,37.077,14.5495,18.623,17.2245,18.252,16.983,18.632
12,N,17.439,16.893,18.6935,20.1975,18.113,17.856,15.801
13,N,13.357,12.1265,16.723,15.677,17.836,15.8265,16.995
14,N,7.243,23.416,18.1575,15.3935,18.485,15.6605,18.668
15,P,13.505,8.9175,17.7595,14.8625,15.104,17.3535,17.497
16,P,19.547,30.3795,14.266,14.879,21.738,19.016,17.295
17,N,31.849,14.8455,17.988,16.5815,17.691,15.941,16.444
18,P,18.421,16.4815,13.048,25.1825,15.856,14.618,15.575
19,P,16.079,26.554,22.561,14.245,15.511,16.7525,18.396
20,P,19.57,25.2305,16.6825,19.7615,18.548,14.4525,17.8035
21,N,16.327,12.0125,18.0235,18.555,22.061,17.439,16.849
22,N,31.11,9.826,22.6115,16.0735,19.757,15.3025,16.827
23,N,17.738,17.475,19.1195,19.5455,20.792,18.5795,18.253
24,P,15.884,27.086,31.3015,22.288,23.617,19.607,17.5195
25,P,7.563,17.5675,11.785,16.407,16.506,17.2885,16.3435
26,N,9.696,11.4235,15.493,20.2465,15.581,19.5115,15.739
27,N,40.022,16.3555,20.6605,17.9335,15.194,21.1955,16.8485
28,N,28.568,43.122,27.788,15.2275,15.628,17.886,16.6115
29,N,14.054,27.694,10.4075,15.1785,14.059,17.2575,16.719
30,N,10.579,25.5225,13.461,15.6015,17.126,15.0135,15.518
31,P,8.355,20.5275,16.762,19.085,15.647,17.3275,18.3045
32,P,10.422,25.251,20.186,20.2155,22.238,18.8325,17.005
33,P,15.95,14.232,17.9415,16.507,15.628,17.448,17.646
34,P,26.359,19.6415,23.4435,12.1205,16.577,16.689,15.337
35,N,25.441,15.218,22.5995,14.6535,14.571,16.626,17.41
