,binaryClass_cat,col_2_num,col_3_num
0,P,1.0,15600.0
1,N,1.0,14650.0
2,P,1.0,15001.0
3,P,1.0,15628.0
4,P,1.0,14222.0
5,N,1.0,14222.0
6,N,1.0,15065.0
7,N,1.0,14916.0
8,N,1.0,14477.0
9,P,1.0,14308.0
10,N,1.0,14239.0
11,N,1.0,14202.0
12,P,1.0,12978.0
13,P,1.0,14511.0
14,N,1.0,13726.0
15,N,1.0,13555.0
16,P,1.0,13544.0
17,N,1.0,13723.0
18,P,1.0,13293.0
19,N,1.0,14333.0
20,P,1.0,13050.0
21,P,1.0,13207.0
22,N,1.0,13501.0
23,P,1.0,12548.0
24,N,1.0,13224.0
25,P,2.0,16423.0
26,N,2.0,15156.0
27,N,2.0,15973.0
28,N,2.0,14576.0
29,N,2.0,15361.0
30,N,2.0,14288.0
31,N,2.0,14711.0
32,N,2.0,14259.0
33,N,2.0,14290.0
34,N,2.0,13833.0
35,N,2.0,14033.0
36,N,2.0,12963.0
37,N,2.0,14255.0
38,P,2.0,12614.0
39,N,2.0,13175.0
40,P,2.0,12595.0
41,N,2.0,12219.0
42,N,3.0,22331.0
43,N,3.0,17063.0
44,N,3.0,15851.0
45,P,3.0,16113.0
46,N,3.0,15448.0
47,P,3.0,15421.0
48,P,3.0,15434.0
49,P,3.0,13597.0
50,N,3.0,15278.0
51,P,3.0,14724.0
52,N,3.0,15275.0
53,P,3.0,14450.0
54,P,3.0,14803.0
55,N,3.0,14033.0
56,N,3.0,14587.0
57,N,3.0,14201.0
58,P,3.0,13977.0
59,P,3.0,14570.0
60,P,3.0,14231.0
61,P,3.0,12890.0
62,N,3.0,14516.0
63,N,3.0,14039.0
64,N,3.0,14136.0
65,P,3.0,13505.0
66,P,3.0,12714.0
67,N,3.0,14371.0
68,N,3.0,13762.0
69,P,3.0,13669.0
70,N,3.0,13602.0
71,P,3.0,13721.0
72,P,3.0,13297.0
73,N,3.0,12948.0
74,N,4.0,22934.0
75,P,4.0,17819.0
76,N,4.0,18266.0
77,N,4.0,17188.0
78,N,4.0,16960.0
79,N,4.0,16040.0
80,P,4.0,16719.0
81,N,4.0,16457.0
82,P,4.0,15617.0
83,N,4.0,15705.0
84,P,4.0,15680.0
85,N,4.0,15756.0
86,N,4.0,15593.0
87,N,4.0,14099.0
88,N,4.0,13628.0
89,P,4.0,15556.0
90,N,4.0,14973.0
91,N,4.0,14874.0
92,P,4.0,13659.0
93,N,4.0,13554.0
94,N,4.0,13994.0
95,N,4.0,13685.0
96,P,4.0,13626.0
97,N,4.0,13240.0
98,P,4.0,12784.0
99,N,5.0,24161.0
100,N,5.0,22067.0
101,P,5.0,18125.0
102,N,5.0,20043.0
103,N,5.0,18311.0
104,N,5.0,18666.0
105,N,5.0,18913.0
106,N,5.0,19673.0
107,P,5.0,17666.0
108,N,5.0,17994.0
109,N,5.0,17682.0
110,N,5.0,16841.0
111,P,5.0,16159.0
112,P,5.0,15282.0
113,N,5.0,15795.0
114,P,5.0,14040.0
115,P,5.0,14973.0
116,P,5.0,14650.0
117,N,5.0,13148.0
118,P,5.0,12433.0
119,P,6.0,21995.0
120,N,6.0,21487.0
121,P,6.0,20966.0
122,P,6.0,18911.0
123,N,6.0,21349.0
124,P,6.0,18129.0
125,N,6.0,17847.0
126,N,6.0,18681.0
127,N,6.0,18146.0
128,N,6.0,17929.0
129,N,6.0,17643.0
130,P,6.0,18878.0
131,P,6.0,17367.0
132,P,6.0,17644.0
133,N,6.0,17666.0
134,N,6.0,17591.0
135,N,6.0,18275.0
136,N,6.0,17182.0
137,P,6.0,17311.0
138,N,6.0,16693.0
139,N,6.0,15663.0
140,N,6.0,16842.0
141,N,6.0,16396.0
142,P,6.0,17049.0
143,N,6.0,16502.0
144,N,6.0,15435.0
145,N,6.0,15200.0
146,P,6.0,16040.0
147,N,6.0,16783.0
148,N,6.0,15488.0
149,N,6.0,15591.0
150,N,6.0,14704.0
151,N,6.0,14742.0
152,P,6.0,14870.0
153,N,6.0,14348.0
154,N,6.0,15336.0
155,N,6.0,14455.0
156,P,7.0,13723.0
157,P,7.0,13726.0
158,P,7.0,12767.0
159,P,7.0,12952.0
160,P,7.0,11618.0
161,P,7.0,11700.0
162,P,7.0,12502.0
163,P,7.0,13320.0
164,P,7.0,10473.0
165,P,7.0,11885.0
166,P,7.0,11688.0
167,P,7.0,11419.0
168,P,7.0,11337.0
169,P,7.0,13183.0
170,P,7.0,10499.0
171,P,7.0,10859.0
172,P,7.0,10982.0
173,P,7.0,10176.0
174,P,7.0,12317.0
175,P,7.0,11412.0
176,P,7.0,11077.0
177,P,7.0,10856.0
178,P,7.0,10383.0
179,P,7.0,10232.0
180,P,7.0,9569.0
181,P,7.0,9939.0
182,P,7.0,10252.0
183,P,7.0,9781.0
184,P,7.0,9426.0
