,binaryClass_cat,col_1_num,col_2_num
0,P,1983.0,1.0
1,N,1983.0,2.0
2,N,1983.0,3.0
3,N,1983.0,4.0
4,N,1983.0,5.0
5,N,1983.0,6.0
6,N,1983.0,7.0
7,N,1983.0,8.0
8,N,1983.0,9.0
9,N,1983.0,10.0
10,P,1983.0,11.0
11,P,1983.0,12.0
12,P,1983.0,13.0
13,P,1983.0,14.0
14,N,1983.0,15.0
15,N,1983.0,16.0
16,P,1983.0,17.0
17,N,1983.0,18.0
18,N,1983.0,19.0
19,P,1983.0,20.0
20,P,1983.0,21.0
21,N,1983.0,22.0
22,N,1983.0,23.0
23,N,1983.0,24.0
24,N,1983.0,25.0
25,N,1983.0,26.0
26,N,1983.0,27.0
27,N,1983.0,28.0
28,N,1983.0,29.0
29,N,1983.0,30.0
30,N,1983.0,31.0
31,N,1983.0,32.0
32,N,1983.0,33.0
33,N,1983.0,34.0
34,N,1983.0,35.0
35,N,1983.0,36.0
36,N,1983.0,37.0
37,N,1983.0,38.0
38,N,1983.0,39.0
39,N,1983.0,40.0
40,N,1983.0,41.0
41,N,1983.0,42.0
42,N,1983.0,43.0
43,N,1983.0,44.0
44,N,1983.0,45.0
45,P,1983.0,46.0
46,P,1983.0,47.0
47,P,1983.0,48.0
48,P,1983.0,49.0
49,P,1983.0,50.0
50,P,1983.0,51.0
51,P,1983.0,52.0
52,P,1984.0,1.0
53,P,1984.0,2.0
54,N,1984.0,3.0
55,N,1984.0,4.0
56,P,1984.0,5.0
57,N,1984.0,6.0
58,N,1984.0,7.0
59,N,1984.0,8.0
60,N,1984.0,9.0
61,N,1984.0,10.0
62,N,1984.0,11.0
63,P,1984.0,12.0
64,N,1984.0,13.0
65,P,1984.0,14.0
66,P,1984.0,15.0
67,N,1984.0,16.0
68,N,1984.0,17.0
69,N,1984.0,18.0
70,P,1984.0,19.0
71,N,1984.0,20.0
72,N,1984.0,21.0
73,N,1984.0,22.0
74,N,1984.0,23.0
75,N,1984.0,24.0
76,N,1984.0,25.0
77,N,1984.0,26.0
78,N,1984.0,27.0
79,N,1984.0,28.0
80,N,1984.0,29.0
81,N,1984.0,30.0
82,N,1984.0,31.0
83,N,1984.0,32.0
84,N,1984.0,33.0
85,N,1984.0,34.0
86,N,1984.0,35.0
87,P,1984.0,36.0
88,N,1984.0,37.0
89,N,1984.0,38.0
90,P,1984.0,39.0
91,P,1984.0,40.0
92,N,1984.0,41.0
93,P,1984.0,42.0
94,P,1984.0,43.0
95,P,1984.0,44.0
96,N,1984.0,45.0
97,N,1984.0,46.0
98,N,1984.0,47.0
99,N,1984.0,48.0
100,N,1984.0,49.0
101,P,1984.0,50.0
102,P,1984.0,51.0
103,P,1984.0,52.0
104,P,1985.0,1.0
105,P,1985.0,2.0
106,P,1985.0,3.0
107,P,1985.0,4.0
108,P,1985.0,5.0
109,P,1985.0,6.0
110,P,1985.0,7.0
111,P,1985.0,8.0
112,P,1985.0,9.0
113,P,1985.0,10.0
114,P,1985.0,11.0
115,P,1985.0,12.0
116,P,1985.0,13.0
117,P,1985.0,14.0
118,P,1985.0,15.0
119,P,1985.0,16.0
120,P,1985.0,17.0
121,P,1985.0,18.0
122,P,1985.0,19.0
123,P,1985.0,20.0
124,P,1985.0,21.0
125,N,1985.0,22.0
126,P,1985.0,23.0
127,N,1985.0,24.0
128,N,1985.0,25.0
129,N,1985.0,26.0
130,N,1985.0,27.0
131,N,1985.0,28.0
132,N,1985.0,29.0
133,N,1985.0,30.0
134,N,1985.0,31.0
135,N,1985.0,32.0
136,N,1985.0,33.0
137,P,1985.0,34.0
138,P,1985.0,35.0
139,P,1985.0,36.0
140,N,1985.0,37.0
141,N,1985.0,38.0
142,N,1985.0,39.0
143,N,1985.0,40.0
144,N,1985.0,41.0
145,N,1985.0,42.0
146,N,1985.0,43.0
147,N,1985.0,44.0
148,N,1985.0,45.0
149,P,1985.0,46.0
150,P,1985.0,47.0
151,P,1985.0,48.0
152,P,1985.0,49.0
153,P,1985.0,50.0
154,P,1985.0,51.0
155,P,1985.0,52.0
156,P,1986.0,1.0
157,N,1986.0,2.0
158,N,1986.0,3.0
159,N,1986.0,4.0
160,N,1986.0,5.0
161,P,1986.0,6.0
162,P,1986.0,7.0
163,P,1986.0,8.0
164,P,1986.0,9.0
165,P,1986.0,10.0
166,P,1986.0,11.0
167,P,1986.0,12.0
168,P,1986.0,13.0
169,P,1986.0,14.0
170,P,1986.0,15.0
171,P,1986.0,16.0
172,P,1986.0,17.0
173,P,1986.0,18.0
174,P,1986.0,19.0
175,P,1986.0,20.0
176,P,1986.0,21.0
177,P,1986.0,22.0
178,P,1986.0,23.0
179,P,1986.0,24.0
180,P,1986.0,25.0
181,P,1986.0,26.0
182,P,1986.0,27.0
183,P,1986.0,28.0
184,P,1986.0,29.0
185,P,1986.0,30.0
186,P,1986.0,31.0
187,P,1986.0,32.0
188,P,1986.0,33.0
189,P,1986.0,34.0
190,P,1986.0,35.0
191,P,1986.0,36.0
192,P,1986.0,37.0
193,P,1986.0,38.0
194,P,1986.0,39.0
195,P,1986.0,40.0
196,P,1986.0,41.0
197,P,1986.0,42.0
198,P,1986.0,43.0
199,P,1986.0,44.0
200,P,1986.0,45.0
201,P,1986.0,46.0
202,P,1986.0,47.0
203,P,1986.0,48.0
204,P,1986.0,49.0
205,P,1986.0,50.0
206,P,1986.0,51.0
207,P,1986.0,52.0
208,P,1987.0,1.0
209,P,1987.0,2.0
210,P,1987.0,3.0
211,P,1987.0,4.0
212,P,1987.0,5.0
213,N,1987.0,6.0
214,P,1987.0,7.0
215,P,1987.0,8.0
216,N,1987.0,9.0
217,P,1987.0,10.0
218,P,1987.0,11.0
219,P,1987.0,12.0
220,P,1987.0,13.0
221,P,1987.0,14.0
222,P,1987.0,15.0
223,N,1987.0,16.0
224,N,1987.0,17.0
225,N,1987.0,18.0
226,N,1987.0,19.0
227,N,1987.0,20.0
228,N,1987.0,21.0
229,N,1987.0,22.0
230,N,1987.0,23.0
231,N,1987.0,24.0
232,N,1987.0,25.0
233,N,1987.0,26.0
234,N,1987.0,27.0
235,N,1987.0,28.0
236,N,1987.0,29.0
237,N,1987.0,30.0
238,N,1987.0,31.0
239,N,1987.0,32.0
240,N,1987.0,33.0
241,N,1987.0,34.0
242,N,1987.0,35.0
243,N,1987.0,36.0
244,P,1987.0,37.0
245,N,1987.0,38.0
246,P,1987.0,39.0
247,N,1987.0,40.0
248,P,1987.0,41.0
249,P,1987.0,42.0
250,P,1987.0,43.0
251,P,1987.0,44.0
252,P,1987.0,45.0
253,P,1987.0,46.0
254,P,1987.0,47.0
255,P,1987.0,48.0
256,P,1987.0,49.0
257,P,1987.0,50.0
258,P,1987.0,51.0
259,P,1987.0,52.0
260,P,1988.0,1.0
261,P,1988.0,2.0
262,P,1988.0,3.0
263,P,1988.0,4.0
264,P,1988.0,5.0
265,P,1988.0,6.0
266,P,1988.0,7.0
