,binaryClass_cat,PERIOD_num,SEEDED_cat,TE_num,TW_num,NC_num,SC_num,NWC_num
0,N,1.0,seeded,1.69,3.73,1.65,1.8,3.33
1,N,2.0,unseeded,0.74,0.78,1.09,0.79,1.59
2,N,3.0,seeded,0.81,0.86,2.39,0.36,2.06
3,N,4.0,unseeded,1.44,2.01,2.96,1.27,4.05
4,N,5.0,seeded,2.48,4.61,4.16,2.16,6.0
5,N,6.0,unseeded,0.84,2.39,2.76,0.87,4.17
6,N,7.0,unseeded,0.37,1.37,1.08,0.85,3.45
7,N,8.0,seeded,0.37,0.84,0.26,0.47,0.9
8,P,9.0,unseeded,1.33,2.31,2.53,1.08,3.65
9,P,10.0,seeded,3.38,5.56,2.76,3.1,5.06
10,P,11.0,seeded,0.69,1.46,1.07,0.64,1.95
11,P,12.0,unseeded,1.42,2.79,1.42,1.08,1.22
12,P,13.0,seeded,0.44,1.05,0.24,0.44,0.94
13,P,14.0,unseeded,0.76,1.24,0.7,0.67,0.94
14,N,15.0,seeded,1.13,2.28,0.97,1.66,2.21
15,N,16.0,unseeded,0.88,1.58,1.06,1.13,1.46
16,N,45.0,seeded,0.17,0.55,0.13,0.27,0.35
17,N,46.0,unseeded,0.25,0.77,0.1,0.3,0.34
18,N,47.0,unseeded,0.78,1.45,0.38,0.58,0.67
19,N,48.0,seeded,0.4,0.34,0.45,0.43,0.44
20,N,49.0,seeded,0.52,0.79,0.42,0.47,0.53
21,N,50.0,unseeded,2.73,2.09,2.24,4.02,2.52
22,N,51.0,unseeded,0.9,2.45,0.52,1.32,2.18
23,N,52.0,seeded,1.62,2.54,0.94,1.59,1.73
24,N,53.0,unseeded,0.93,2.11,1.19,0.85,2.31
25,N,54.0,seeded,0.63,1.31,0.76,0.71,1.28
26,N,55.0,seeded,0.42,1.23,0.13,0.59,0.91
27,N,56.0,unseeded,0.64,0.43,1.5,0.24,1.15
28,N,57.0,unseeded,0.3,0.69,1.03,0.22,1.88
29,N,58.0,seeded,0.88,1.32,1.87,0.58,2.97
30,N,59.0,unseeded,0.76,1.25,1.85,1.36,2.17
31,N,60.0,seeded,1.25,1.0,2.04,0.71,2.22
32,N,61.0,unseeded,1.08,0.99,1.44,1.0,1.64
33,N,62.0,seeded,1.11,0.8,1.46,1.48,0.4
34,P,63.0,seeded,3.43,2.55,5.08,1.77,4.2
35,P,64.0,unseeded,0.54,0.43,0.66,0.73,0.91
36,P,65.0,seeded,0.39,0.44,0.49,0.55,0.51
37,P,66.0,unseeded,2.53,3.18,3.27,2.68,3.6
38,P,67.0,unseeded,0.81,0.89,1.33,0.43,2.18
39,P,68.0,seeded,0.39,1.22,0.25,0.46,0.89
40,N,69.0,seeded,0.86,1.24,0.69,0.49,0.69
41,N,70.0,unseeded,2.16,2.29,2.12,0.95,1.82
42,P,95.0,unseeded,1.7,2.18,1.45,1.47,2.2
43,P,96.0,seeded,1.22,2.0,2.13,1.13,2.33
44,P,97.0,seeded,0.07,0.22,0.02,0.08,0.24
45,P,98.0,unseeded,0.49,1.07,0.36,0.87,0.57
46,P,99.0,unseeded,0.71,1.73,0.72,0.99,0.98
47,P,100.0,seeded,1.67,3.46,1.02,1.89,2.47
48,N,101.0,unseeded,0.73,1.51,0.18,1.42,0.71
49,N,102.0,seeded,1.79,3.13,1.83,1.82,3.11
50,N,103.0,unseeded,0.19,1.05,0.08,0.4,0.57
51,N,104.0,seeded,0.0,0.15,0.0,0.04,0.04
52,N,105.0,seeded,0.44,0.89,0.83,0.38,0.7
53,N,106.0,unseeded,0.31,1.15,0.01,0.44,0.66
54,N,107.0,seeded,0.96,0.88,2.65,0.85,1.48
55,N,108.0,unseeded,1.04,1.2,1.27,1.39,1.2
56,N,109.0,seeded,0.05,0.06,0.01,0.23,0.1
57,N,110.0,unseeded,0.04,0.2,0.35,0.75,0.2
58,N,111.0,seeded,1.83,2.93,1.8,1.62,3.02
59,N,112.0,unseeded,2.24,2.17,4.44,1.05,3.59
60,N,113.0,seeded,2.5,3.99,2.84,2.44,4.48
61,N,114.0,unseeded,1.1,1.71,2.05,1.3,4.04
62,N,115.0,seeded,1.83,3.87,3.01,1.66,4.56
63,N,116.0,unseeded,1.41,2.99,2.58,1.21,3.95
64,N,117.0,unseeded,0.74,1.36,2.22,0.61,2.68
65,N,118.0,seeded,1.09,3.56,0.07,2.26,2.08
66,N,119.0,seeded,0.79,1.43,1.62,1.16,2.87
67,N,120.0,unseeded,4.06,6.71,4.34,3.29,6.4
68,N,121.0,unseeded,0.4,0.64,1.03,0.58,1.77
69,N,122.0,seeded,0.76,1.83,1.5,0.41,2.56
70,P,123.0,seeded,1.53,3.62,1.52,1.62,2.86
71,P,124.0,unseeded,0.56,2.88,0.37,1.25,1.74
72,P,125.0,unseeded,1.74,3.45,2.14,1.0,4.39
73,P,126.0,seeded,1.59,3.19,2.36,1.53,3.03
74,P,127.0,unseeded,1.91,4.74,1.71,2.03,3.24
75,P,128.0,seeded,2.09,5.23,2.12,2.77,4.44
76,N,129.0,unseeded,1.59,3.92,1.38,2.11,3.01
77,N,130.0,seeded,0.66,2.22,0.21,1.41,0.8
78,N,131.0,unseeded,0.68,0.42,0.48,0.59,0.68
79,N,132.0,seeded,0.46,1.08,0.01,0.65,0.48
80,N,133.0,seeded,0.22,0.62,0.15,0.13,0.42
81,N,134.0,unseeded,1.11,1.7,1.32,0.57,1.54
82,N,135.0,seeded,1.76,1.19,2.26,1.04,1.27
83,N,136.0,unseeded,5.12,5.25,5.95,3.97,5.37
84,N,171.0,unseeded,0.12,0.6,0.19,0.28,0.7
85,N,172.0,seeded,0.37,0.65,0.31,0.23,0.83
86,N,173.0,seeded,4.97,3.03,1.44,3.14,0.86
87,N,174.0,unseeded,0.57,1.53,0.3,0.72,1.38
88,N,175.0,seeded,0.13,0.54,0.11,0.14,0.58
89,N,176.0,unseeded,2.47,4.7,3.66,1.84,5.36
90,N,177.0,unseeded,1.01,2.32,1.14,0.81,2.09
91,N,178.0,seeded,0.55,1.13,1.3,0.34,2.45
92,N,179.0,seeded,0.24,0.61,0.05,0.38,0.9
93,N,180.0,unseeded,2.36,1.15,1.84,1.73,2.33
94,N,181.0,seeded,2.35,4.29,4.24,1.67,5.48
95,N,182.0,unseeded,2.23,4.3,1.99,1.9,3.67
96,N,183.0,unseeded,1.16,3.06,2.44,1.52,4.01
97,N,184.0,seeded,1.63,3.31,2.21,2.36,3.25
98,N,185.0,seeded,1.08,3.17,0.8,2.25,2.79
99,N,186.0,unseeded,6.0,6.15,9.42,3.6,7.84
100,P,187.0,seeded,2.67,6.93,2.74,3.03,6.39
101,P,188.0,unseeded,0.36,0.15,0.0,0.19,0.06
102,P,189.0,seeded,0.58,1.41,0.96,0.64,1.24
103,P,190.0,unseeded,1.36,3.43,1.38,1.86,2.91
104,P,191.0,seeded,1.17,1.65,1.22,2.28,1.58
105,P,192.0,unseeded,2.37,1.94,2.46,2.47,2.39
106,P,193.0,seeded,0.02,0.08,0.05,0.02,0.09
107,P,194.0,unseeded,0.92,2.09,0.61,0.87,1.35
