,binaryClass_cat,Age_num,Civil_num,Can/US_num
0,P,23.349661,29.86088,4.19716
1,N,62.428811,22.772825,5.691332
2,P,48.272638,8.063227,9.5125
3,N,39.918946,14.799746,8.426956
4,P,33.232595,17.817427,14.248728
5,N,27.101284,13.404751,18.068187
6,N,52.491328,9.746183,5.080532
7,P,43.865826,18.706031,12.300193
8,P,31.795246,11.660241,15.498379
9,N,79.052775,12.263069,6.083357
10,N,54.194508,22.608776,6.486875
11,N,35.066522,2.53859,7.084479
12,N,40.434952,13.616403,9.319561
13,N,9.460303,21.010407,10.203904
14,P,49.159898,28.952001,7.896953
15,N,46.914543,17.258022,6.543242
16,N,45.767922,30.390819,4.27314
17,P,54.349277,25.815851,3.087667
18,P,64.314428,12.39822,12.239726
19,N,49.188499,11.024706,6.838271
20,N,76.652939,26.103957,6.352969
21,N,51.866679,19.819029,12.800585
22,N,29.262586,26.090016,15.386624
23,P,53.679798,20.002226,8.848325
24,N,68.879577,21.299838,10.57195
25,N,26.989108,14.012562,9.467213
26,N,72.079947,19.194236,4.163027
27,N,45.380312,17.806181,12.384688
28,N,53.83031,19.772365,8.555143
29,N,44.908491,16.486319,7.911769
30,P,56.521128,21.262055,17.702026
31,N,41.17038,28.26387,11.419559
32,N,37.96538,27.829664,0.264236
33,N,43.498354,15.322091,13.6182
34,P,43.343977,24.298524,8.253998
35,P,63.631147,18.167378,10.345877
36,N,52.564104,24.339034,7.215017
37,N,57.175338,20.863261,5.046247
38,N,29.521415,16.856372,6.431306
39,N,52.4953,17.325386,10.868459
40,P,31.857979,14.762502,8.897336
41,P,33.03287,28.333817,9.711018
42,P,38.245012,15.61043,14.286451
43,N,43.813534,16.47202,4.36303
44,N,43.142773,19.226898,8.876772
45,N,43.226535,19.188189,4.231545
46,N,38.858023,26.459855,10.16419
47,N,20.45723,30.63435,7.669443
48,P,42.15814,23.932471,12.115344
49,P,64.95006,14.892567,5.134576
50,P,46.87503,22.693788,6.884193
51,N,64.11579,15.984411,15.23861
52,N,63.62045,8.954399,12.416755
53,N,58.25248,10.963543,9.450022
54,P,29.61109,19.054076,5.318568
55,N,35.65635,8.575981,1.937343
56,P,34.02292,-0.83972,6.249028
57,P,28.17437,16.308784,11.336806
58,N,35.53192,20.241072,8.909814
59,N,38.53041,17.709451,9.430934
60,N,20.41723,26.322102,9.049957
61,P,33.77809,4.782958,7.864196
62,N,63.10095,29.157338,5.163299
63,P,32.61149,19.69438,10.572607
64,P,33.25269,21.352344,11.14138
65,P,59.17378,18.734254,10.947889
66,N,33.15636,11.386812,12.830182
67,P,22.99372,18.284004,5.020718
68,P,69.44475,23.565799,8.248992
69,N,34.46941,19.99901,7.756533
70,N,28.04734,9.644653,10.683043
71,P,60.69,16.370371,12.236151
72,P,53.38916,15.109621,2.107196
73,N,49.90884,23.861792,8.751306
74,P,37.82528,21.495394,5.591292
75,P,45.75806,6.595786,15.804572
76,N,49.30591,13.802382,16.353585
77,N,41.20675,15.319123,5.270854
78,N,22.85622,30.976788,7.054899
79,P,39.87962,22.875549,19.430787
80,N,53.3706,12.38571,11.611559
81,N,41.24611,16.846126,8.477768
82,N,29.33233,15.140352,9.333612
83,N,30.54214,13.89779,14.025725
