,binaryClass_cat,average_temperature_num,month_cat
0,P,73.0,8
1,P,67.0,9
2,P,57.0,10
3,N,43.0,11
4,N,26.0,12
5,N,41.0,1
6,N,38.0,2
7,N,46.0,3
8,N,54.0,4
9,P,60.0,5
10,P,71.0,6
11,P,75.0,7
12,P,74.0,8
13,P,66.0,9
14,P,61.0,10
15,N,49.0,11
16,N,41.0,12
17,N,35.0,1
18,N,41.0,2
19,P,42.0,3
20,P,56.0,4
21,P,69.0,5
22,P,73.0,6
23,P,77.0,7
24,P,74.0,8
25,P,66.0,9
26,P,56.0,10
27,P,47.0,11
28,N,38.0,12
29,N,34.0,1
30,N,37.0,2
31,N,39.0,3
32,N,51.0,4
33,P,60.0,5
34,P,70.0,6
35,P,73.0,7
36,P,71.0,8
37,P,66.0,9
38,N,54.0,10
39,N,45.0,11
40,N,36.0,12
41,N,34.0,1
42,N,32.0,2
43,N,39.0,3
44,P,55.0,4
45,P,64.0,5
46,P,72.0,6
47,P,79.0,7
48,P,75.0,8
49,P,65.0,9
50,P,54.0,10
51,P,48.0,11
52,N,35.0,12
53,N,24.0,1
54,N,32.0,2
