,binaryClass_cat,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num
0,N,-0.018938,1.517851,-0.656458,-0.783825,0.751291
1,N,1.135592,-0.415853,-0.911146,0.829713,0.085942
2,N,0.773382,-0.008547,2.016376,-1.277857,0.454648
3,N,0.388235,1.004484,0.274335,1.172328,1.467668
4,P,1.430171,-0.352321,0.023758,-1.960792,-0.31581
5,N,-0.052209,-0.664504,1.584878,-0.046295,1.217967
6,P,-1.233201,1.540983,0.05488,-1.001823,1.322247
7,P,0.777858,-1.672884,-0.514274,-0.593453,-1.3984
8,N,0.612248,1.179681,-1.542395,0.202901,-0.806906
9,N,-0.251653,-0.492262,1.782414,-0.729889,1.339508
10,P,-1.544924,-0.503616,-1.283845,1.359042,-1.033527
11,N,-0.250556,0.164651,-0.354883,-0.261313,0.558313
12,P,-1.165079,0.718261,0.115824,1.216023,-1.516966
13,P,-1.560572,0.435678,0.813179,1.737451,-1.50441
14,N,1.576233,0.475786,0.147244,0.596106,1.121231
15,P,-0.853932,-1.338984,0.565421,-1.738643,-1.438857
16,P,-0.205065,-0.243423,0.494822,-0.242799,1.361088
17,P,-1.119977,0.235888,0.788903,-1.833615,1.157391
18,N,-0.265152,1.620043,-1.483647,-0.743214,1.384619
19,N,0.626141,-0.474591,-0.541929,0.477399,1.512949
20,N,0.246977,0.187098,0.660491,0.506227,-0.509815
21,N,1.706341,-0.792516,-0.652042,1.376931,-0.106676
22,N,-0.787359,0.498306,-0.375183,0.880647,1.191556
23,N,1.347763,0.844435,-0.665991,-1.280134,1.231012
24,N,0.68946,0.234729,-0.784509,-0.530178,-0.824041
25,N,0.489994,-0.413164,-0.983561,1.184198,0.493212
26,P,-1.665822,0.383264,-0.507411,0.122775,-0.392068
27,N,1.213554,0.504537,-1.049864,0.430652,-0.858719
28,N,0.358203,0.301289,0.477983,1.000001,-0.68264
29,N,1.071627,-0.330268,-0.543483,-0.00455,0.176101
30,N,0.688689,1.098166,-1.501263,-0.314037,-1.231284
31,P,0.620362,-1.231427,0.645053,0.172872,-0.295143
32,P,-0.871312,-0.717249,-1.444146,-1.21641,1.089315
33,N,-0.29333,0.114284,-1.423923,0.385368,0.340034
34,P,0.253885,-0.438544,0.291492,-0.949089,1.035099
35,P,1.361134,-1.640703,-0.939803,-0.190532,-0.778005
36,N,-0.539869,1.114549,-0.474368,1.143537,0.110429
37,N,1.192174,1.654482,-0.713416,1.826818,1.349663
38,N,0.450708,1.548022,-1.407325,-1.202693,0.888595
39,N,-0.071448,0.995855,1.823409,0.269625,-0.814335
40,N,1.46093,0.233751,-1.131525,1.095758,-0.611418
41,N,0.417225,1.789002,1.250139,0.015158,-1.093918
42,N,-0.057213,1.782137,-0.598072,-0.308045,-1.556003
43,N,-0.911065,0.075649,-1.138537,1.232901,0.542314
44,P,-1.647809,1.519106,-0.987178,-1.476805,0.162437
45,P,-1.665418,-1.165234,-1.375638,-1.092251,-1.721473
46,P,-0.848659,-1.664631,0.602236,-0.598936,1.127947
47,P,-1.68412,-0.146543,0.556278,0.431442,1.315352
48,P,0.60252,-1.509433,-1.467138,-1.224231,-1.433927
49,N,-1.081117,-0.757661,1.929458,1.11316,-1.66125
50,N,-1.596609,0.435383,1.871135,1.063396,0.052978
51,N,0.233135,1.690924,1.689093,1.534232,1.085768
52,P,1.242199,1.380309,1.161368,-0.336305,-0.645742
53,P,1.748784,-1.5583,-0.271357,-1.228019,0.342832
54,N,0.576735,-0.195612,-0.870312,0.019221,0.931496
55,N,1.419049,1.399286,-0.639564,0.972173,-1.494982
56,P,-0.519624,-0.857235,1.059617,-0.804162,0.959091
57,N,-0.479541,-0.315554,-1.474422,0.524693,0.761578
58,N,1.546927,0.845209,1.788386,-0.835545,0.276395
59,N,0.92826,0.421857,1.906846,-0.555752,-0.672657
60,N,0.239755,-0.968522,0.898837,1.710279,-0.96028
61,P,0.010921,0.612743,0.454289,-0.746273,-0.907774
62,N,-0.332341,0.453375,0.913878,0.172341,0.652024
63,P,-1.256099,-1.0676,-1.109083,0.850322,-0.848821
64,N,-0.724534,1.784363,1.576675,1.052656,0.0415
65,P,-0.74497,-0.655793,0.011197,-1.945521,-0.751484
66,P,-0.936029,0.528365,-0.144168,0.116648,-0.962877
67,P,-1.503613,0.587042,-0.182092,0.481869,0.571048
68,N,1.029275,-0.035699,-0.776208,0.905988,1.479348
69,P,-1.642232,-0.481299,1.54277,-0.283092,0.008772
70,P,-0.201014,-1.603583,-0.521302,1.237039,-1.730587
71,N,0.135353,-0.12749,0.217648,-0.531112,-0.268486
72,N,0.617257,0.693424,0.468161,-0.902107,-1.565167
73,P,-0.854094,0.784218,-0.56511,-0.01367,-0.726017
74,N,-0.490043,0.201658,-0.785313,0.628343,1.090712
75,P,-1.03518,-1.268822,-0.848769,1.225962,-1.198666
76,P,-1.175228,-0.565173,0.250034,0.02465,0.89273
77,P,-0.946693,1.520662,-0.486272,-1.928681,-0.873964
78,P,1.62859,1.264651,1.527204,-1.737665,-0.225046
79,P,-1.152235,-1.470508,0.884118,-0.442562,-0.64735
80,P,0.979576,-0.705587,0.995582,-0.672452,0.404152
81,P,-0.237179,-0.884032,-0.098827,0.214453,-1.476215
82,N,0.84776,-1.216384,-1.492484,0.731377,0.493533
83,P,-0.395036,-0.920216,0.167294,1.022324,-0.656796
84,N,-0.858781,1.122155,1.441793,1.215054,-0.421057
85,N,0.896508,-1.360982,0.438197,1.776637,0.929085
86,P,1.645292,0.908803,0.584699,-0.838114,-0.664957
87,P,0.217543,-1.558926,-0.901294,1.318488,-1.672016
88,N,0.755878,-0.008205,0.912663,0.725027,-1.034612
89,N,0.821606,0.704364,0.718238,-0.018715,1.359254
90,N,0.326176,0.671982,-0.478407,-1.254343,0.718258
91,N,0.949741,-0.444723,0.717986,0.631036,0.899854
92,P,1.570219,-1.678259,-0.649215,-0.446333,0.648172
93,N,-1.481901,-0.075285,-0.802381,0.77417,1.018118
94,P,0.420567,-0.658659,1.485981,-1.080792,-1.289399
95,N,0.48688,0.45252,-0.849044,-0.574237,0.550688
96,P,-1.426537,-0.863169,-0.408042,-1.517822,1.405553
97,P,-1.097242,-1.493752,-0.306548,0.665724,0.328968
98,P,0.249121,-0.618846,-0.424225,-1.574269,0.333769
99,P,-1.281959,-1.602691,-0.044875,-0.504178,1.256931
