,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num,class_num
0,125.0,256.0,6000.0,256.0,16.0,128.0,198.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,269.0
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220.0
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172.0
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318.0
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367.0
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489.0
8,23.0,16000.0,64000.0,64.0,16.0,32.0,636.0
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144.0
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38.0
11,400.0,512.0,3500.0,4.0,1.0,6.0,40.0
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92.0
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138.0
14,350.0,64.0,64.0,0.0,1.0,4.0,10.0
15,200.0,512.0,16000.0,0.0,4.0,32.0,35.0
16,167.0,524.0,2000.0,8.0,4.0,15.0,19.0
17,143.0,512.0,5000.0,0.0,7.0,32.0,28.0
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31.0
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120.0
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30.0
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33.0
22,143.0,2300.0,6200.0,0.0,6.0,64.0,61.0
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76.0
24,320.0,128.0,6000.0,0.0,1.0,12.0,23.0
25,320.0,512.0,2000.0,4.0,1.0,3.0,69.0
26,320.0,256.0,6000.0,0.0,1.0,6.0,33.0
27,320.0,256.0,3000.0,4.0,1.0,3.0,27.0
28,320.0,512.0,5000.0,4.0,1.0,5.0,77.0
29,320.0,256.0,5000.0,4.0,1.0,6.0,27.0
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274.0
31,25.0,1310.0,2620.0,131.0,12.0,24.0,368.0
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32.0
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63.0
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106.0
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208.0
36,50.0,500.0,2000.0,8.0,1.0,4.0,20.0
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29.0
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71.0
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26.0
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36.0
41,50.0,2000.0,16000.0,8.0,3.0,5.0,40.0
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52.0
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60.0
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72.0
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72.0
46,810.0,512.0,512.0,8.0,1.0,1.0,18.0
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20.0
48,320.0,512.0,8000.0,4.0,1.0,5.0,40.0
49,200.0,512.0,8000.0,8.0,1.0,8.0,62.0
50,700.0,384.0,8000.0,0.0,1.0,1.0,24.0
51,700.0,256.0,2000.0,0.0,1.0,1.0,24.0
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138.0
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36.0
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26.0
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60.0
56,220.0,1000.0,8000.0,16.0,1.0,2.0,71.0
57,800.0,256.0,8000.0,0.0,1.0,4.0,12.0
58,800.0,256.0,8000.0,0.0,1.0,4.0,14.0
59,800.0,256.0,8000.0,0.0,1.0,4.0,20.0
60,800.0,256.0,8000.0,0.0,1.0,4.0,16.0
61,800.0,256.0,8000.0,0.0,1.0,4.0,22.0
62,125.0,512.0,1000.0,0.0,8.0,20.0,36.0
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144.0
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144.0
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259.0
66,90.0,256.0,1000.0,0.0,3.0,10.0,17.0
67,105.0,256.0,2000.0,0.0,3.0,10.0,26.0
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32.0
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32.0
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62.0
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64.0
72,175.0,256.0,2000.0,0.0,3.0,24.0,22.0
73,300.0,768.0,3000.0,0.0,6.0,24.0,36.0
74,300.0,768.0,3000.0,6.0,6.0,24.0,44.0
75,300.0,768.0,12000.0,6.0,6.0,24.0,50.0
76,300.0,768.0,4500.0,0.0,1.0,24.0,45.0
77,300.0,384.0,12000.0,6.0,1.0,24.0,53.0
78,300.0,192.0,768.0,6.0,6.0,24.0,36.0
79,180.0,768.0,12000.0,6.0,1.0,31.0,84.0
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16.0
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38.0
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38.0
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16.0
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22.0
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29.0
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40.0
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35.0
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134.0
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66.0
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141.0
91,140.0,2000.0,32000.0,32.0,1.0,54.0,189.0
92,140.0,2000.0,4000.0,8.0,1.0,20.0,22.0
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132.0
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237.0
95,26.0,16000.0,32000.0,64.0,16.0,24.0,465.0
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465.0
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277.0
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185.0
99,480.0,96.0,512.0,0.0,1.0,1.0,6.0
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24.0
101,115.0,512.0,6000.0,16.0,1.0,6.0,45.0
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7.0
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13.0
104,600.0,768.0,2000.0,0.0,1.0,1.0,16.0
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32.0
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32.0
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11.0
108,900.0,512.0,1000.0,0.0,1.0,2.0,11.0
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18.0
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22.0
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37.0
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40.0
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34.0
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50.0
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76.0
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66.0
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24.0
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49.0
119,25.0,2000.0,12000.0,16.0,3.0,5.0,66.0
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100.0
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133.0
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12.0
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18.0
124,800.0,768.0,2000.0,0.0,0.0,0.0,20.0
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27.0
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45.0
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56.0
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70.0
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80.0
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136.0
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16.0
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26.0
133,100.0,1000.0,8000.0,24.0,3.0,6.0,32.0
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45.0
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54.0
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65.0
137,150.0,512.0,4000.0,0.0,8.0,128.0,30.0
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50.0
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40.0
140,92.0,2000.0,8000.0,32.0,1.0,6.0,62.0
141,92.0,2000.0,8000.0,32.0,1.0,6.0,60.0
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50.0
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66.0
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86.0
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74.0
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93.0
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111.0
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143.0
149,72.0,2000.0,8000.0,16.0,6.0,8.0,105.0
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214.0
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277.0
152,35.0,8000.0,32000.0,64.0,8.0,24.0,370.0
153,38.0,16000.0,32000.0,128.0,16.0,32.0,510.0
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214.0
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326.0
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510.0
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8.0
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12.0
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17.0
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21.0
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24.0
162,56.0,4000.0,8000.0,0.0,1.0,8.0,34.0
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42.0
164,56.0,4000.0,16000.0,0.0,1.0,8.0,46.0
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51.0
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116.0
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100.0
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140.0
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212.0
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25.0
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30.0
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41.0
173,250.0,512.0,4000.0,0.0,1.0,7.0,25.0
174,250.0,512.0,4000.0,0.0,4.0,7.0,50.0
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50.0
176,160.0,512.0,4000.0,2.0,1.0,5.0,30.0
177,160.0,512.0,2000.0,2.0,3.0,8.0,32.0
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38.0
179,160.0,1000.0,8000.0,16.0,1.0,14.0,60.0
180,160.0,2000.0,8000.0,32.0,1.0,13.0,109.0
181,240.0,512.0,1000.0,8.0,1.0,3.0,6.0
182,240.0,512.0,2000.0,8.0,1.0,5.0,11.0
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22.0
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33.0
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58.0
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130.0
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75.0
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113.0
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188.0
190,26.0,8000.0,24000.0,32.0,8.0,16.0,173.0
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248.0
192,26.0,8000.0,32000.0,128.0,24.0,32.0,405.0
193,116.0,2000.0,8000.0,32.0,5.0,28.0,70.0
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114.0
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208.0
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307.0
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397.0
198,30.0,8000.0,64000.0,96.0,12.0,176.0,915.0
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150.0
200,180.0,262.0,4000.0,0.0,1.0,3.0,12.0
201,180.0,512.0,4000.0,0.0,1.0,3.0,14.0
202,180.0,262.0,4000.0,0.0,1.0,3.0,18.0
203,180.0,512.0,4000.0,0.0,1.0,3.0,21.0
204,124.0,1000.0,8000.0,0.0,1.0,8.0,42.0
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46.0
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52.0
207,480.0,512.0,8000.0,32.0,0.0,0.0,67.0
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45.0
