,binaryClass_cat,LABEL_num,P85_num,P75_num,RMT85_num,CS82_num,SS82_num,S82_num,ME84_num,REV84_num,REG_num
0,P,1.0,33.0,27.0,288.0,13.0,24.0,49.0,2135.0,2836.0,1.0
1,P,2.0,19.0,15.0,139.0,14.0,12.0,41.0,957.0,2035.0,1.0
2,P,3.0,26.0,20.0,196.0,12.0,14.0,41.0,1530.0,6030.0,1.0
3,P,4.0,19.0,15.0,159.0,12.0,19.0,41.0,1059.0,4704.0,1.0
4,P,5.0,56.0,52.0,536.0,20.0,27.0,61.0,3951.0,5183.0,1.0
5,P,6.0,16.0,15.0,134.0,16.0,12.0,41.0,918.0,2157.0,1.0
6,P,7.0,70.0,62.0,623.0,18.0,27.0,61.0,4367.0,7072.0,1.0
7,P,8.0,66.0,54.0,517.0,15.0,32.0,61.0,4345.0,5246.0,1.0
8,P,9.0,12.0,12.0,96.0,10.0,12.0,31.0,754.0,951.0,1.0
9,P,10.0,60.0,50.0,467.0,14.0,29.0,61.0,3902.0,6067.0,1.0
10,P,11.0,32.0,29.0,277.0,14.0,20.0,45.0,1993.0,3264.0,1.0
11,P,12.0,20.0,14.0,155.0,10.0,21.0,41.0,1312.0,1899.0,1.0
12,P,13.0,53.0,40.0,386.0,24.0,13.0,51.0,2780.0,5931.0,1.0
13,P,14.0,28.0,27.0,241.0,24.0,8.0,45.0,1649.0,3877.0,1.0
14,P,15.0,48.0,43.0,422.0,19.0,18.0,51.0,2983.0,4968.0,1.0
15,P,16.0,653.0,671.0,6263.0,34.0,41.0,101.0,45324.0,59877.0,1.0
16,P,17.0,79.0,78.0,612.0,14.0,31.0,61.0,5331.0,7027.0,1.0
17,P,18.0,59.0,54.0,532.0,23.0,23.0,61.0,3994.0,6529.0,1.0
18,P,19.0,27.0,28.0,250.0,9.0,22.0,41.0,1616.0,2208.0,1.0
19,P,20.0,49.0,55.0,412.0,20.0,27.0,61.0,3240.0,3976.0,1.0
20,P,21.0,38.0,36.0,339.0,21.0,11.0,51.0,2055.0,4438.0,1.0
21,P,22.0,6.0,6.0,55.0,11.0,12.0,31.0,304.0,960.0,1.0
22,P,23.0,42.0,39.0,290.0,12.0,25.0,57.0,2294.0,7990.0,1.0
23,P,24.0,29.0,27.0,249.0,13.0,23.0,49.0,1899.0,2719.0,1.0
24,P,25.0,21.0,19.0,164.0,8.0,25.0,45.0,1217.0,2389.0,1.0
25,P,26.0,14.0,9.0,97.0,12.0,15.0,35.0,679.0,1462.0,2.0
26,P,27.0,9.0,10.0,74.0,3.0,20.0,31.0,490.0,1751.0,2.0
27,P,28.0,20.0,21.0,144.0,5.0,27.0,49.0,1109.0,2259.0,2.0
28,P,29.0,153.0,138.0,1277.0,21.0,36.0,81.0,7910.0,13205.0,2.0
