,sample_size_num,id_cat,weeks_num,cells_percentage_num
0,72,40004,11.0,33
1,67,40004,13.0,49
2,56,40004,19.0,46
3,19,40004,25.0,42
4,59,40004,28.0,68
5,64,40004,31.0,55
6,61,40004,33.0,38
7,73,40004,36.0,23
8,170,40004,41.0,32
9,120,40004,45.0,41
10,70,40004,48.0,50
11,39,40004,50.0,54
12,143,40004,52.0,30
13,56,40004,54.0,30
14,78,40004,56.0,32
15,74,40004,58.0,18
16,81,40004,62.0,36
17,65,40005a,14.0,34
18,74,40005a,17.0,26
19,73,40005a,23.0,21
20,72,40005a,26.0,11
21,77,40005a,29.0,19
22,70,40005a,31.0,20
23,56,40005a,34.0,13
24,65,40005a,37.0,17
25,77,40005a,41.0,17
26,69,40005a,43.0,16
27,77,40005a,45.0,21
28,79,40005a,47.0,16
29,77,40005a,49.0,21
30,75,40005a,54.0,16
31,67,40005b,10.0,7
32,76,40005b,13.0,4
33,74,40005b,16.0,9
34,227,40005b,18.0,53
35,147,40005b,20.0,15
36,152,40005b,21.0,44
37,76,40005b,23.0,53
38,154,40005b,25.0,49
39,76,40005b,27.0,63
40,147,40005b,28.0,61
41,76,40005b,30.0,70
42,74,40005b,32.0,61
43,75,40005b,34.0,72
44,74,40005b,36.0,81
45,154,40005b,38.0,78
46,75,40005b,40.0,84
47,72,40006,10.0,24
48,74,40006,12.0,27
49,73,40006,14.0,26
50,73,40006,18.0,15
51,76,40006,20.0,16
52,75,40006,22.0,15
53,76,40006,24.0,11
54,76,40006,26.0,11
55,77,40006,28.0,19
56,76,40006,30.0,21
57,73,40006,32.0,10
58,72,40006,36.0,14
59,75,40006,38.0,17
60,76,40006,40.0,15
61,73,40006,44.0,5
62,72,40006,46.0,8
63,74,40006,48.0,15
64,75,40006,49.0,9
65,59,40665,10.0,81
66,57,40665,12.0,61
67,58,40665,14.0,55
68,66,40665,16.0,65
69,59,40665,18.0,59
70,114,40665,21.0,79
71,113,40665,23.0,67
72,95,40665,26.0,53
73,69,40665,29.0,58
74,56,40665,31.0,61
75,70,40665,33.0,40
76,58,40665,37.0,47
77,86,40665,39.0,56
78,123,40665,41.0,36
79,62,40665,43.0,32
80,56,40665,51.0,48
81,126,40665,57.0,24
82,62,40665,60.0,26
83,87,40823,10.0,43
84,64,40823,14.0,41
85,141,40823,19.0,26
86,120,40823,23.0,14
87,51,40823,28.0,22
88,52,40823,29.0,10
89,65,40823,35.0,6
90,72,40823,38.0,17
91,72,40823,41.0,15
92,65,40823,44.0,11
93,70,40823,47.0,17
94,64,40823,50.0,8
95,64,40823,56.0,13
96,64,40823,60.0,12
97,70,40823,62.0,14
98,23,63848,0.0,52
99,91,63848,16.0,55
100,48,63848,34.0,60
101,38,63848,58.0,50
102,46,63848,96.0,46
103,54,63848,98.0,61
104,68,63848,176.0,51
105,76,63848,245.0,45
106,115,63848,263.0,37
107,73,63848,265.0,48
108,76,63848,267.0,46
109,74,63848,269.0,42
110,75,63848,271.0,41
111,69,63848,274.0,45
112,72,63848,278.0,40
113,32,63132,0.0,72
114,25,63132,1.5,64
115,32,63132,9.0,75
116,32,63132,13.0,72
117,21,63132,58.0,67
118,33,63132,86.0,55
119,65,63132,142.0,51
120,13,63133,0.0,46
121,25,63133,1.5,36
122,28,63133,9.0,46
123,29,63133,13.0,52
124,24,63133,27.0,42
125,12,63133,51.0,25
126,37,63133,86.0,30
127,67,63133,93.0,39
128,65,63133,142.0,32
129,26,63134,0.0,31
130,19,63134,1.5,53
131,31,63134,9.0,45
132,24,63134,13.0,21
133,12,63134,58.0,25
134,35,63134,86.0,31
135,72,63134,142.0,32
136,36,65044,0.0,58
137,12,65044,15.0,58
138,57,65044,91.0,48
139,65,65044,95.0,51
