,a1_num,a2_num,a3_num,a4_num,a5_num,a6_num,a7_num,a8_num,a9_num,a10_num,class_num
0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-0.62
1,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,-5.92
2,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.51
3,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,3.33
4,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-7.83
5,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,1.88
6,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,3.64
7,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.94
8,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-5.6
9,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,-0.9
10,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,-0.89
11,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,6.44
12,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,4.7
13,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-4.5
14,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,9.78
15,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-0.76
16,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-3.18
17,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,7.18
18,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-5.66
19,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.54
20,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.39
21,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.57
22,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.88
23,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-2.88
24,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,5.45
25,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,-3.3
26,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.15
27,-1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,4.61
28,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-7.39
29,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,3.49
30,1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-4.94
31,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13
32,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-0.5
33,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-3.36
34,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-2.35
35,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.22
36,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-8.73
37,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.43
38,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.79
39,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.5
40,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.01
41,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.57
42,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.82
43,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,10.65
44,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-4.04
45,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,5.54
46,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0,-5.48
47,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.24
48,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,7.54
49,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-6.52
50,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,1.0,3.35
51,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.5
52,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.26
53,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-4.71
54,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,-0.63
55,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.57
56,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,5.99
57,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.26
58,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,-4.23
59,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,-0.87
60,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-2.77
61,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,12.09
62,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-0.46
63,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,7.39
64,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.06
65,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0,8.55
66,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0
67,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.69
68,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-2.81
69,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-3.65
70,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.36
71,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.2
72,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-2.06
73,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,5.23
74,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.06
75,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.97
76,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.83
77,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-6.55
78,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.64
79,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.27
80,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.94
81,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.59
82,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-6.66
83,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2
84,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.86
85,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,7.01
86,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-3.0
87,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,7.16
88,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,3.62
89,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,3.05
90,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,-3.0
91,-1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,3.34
92,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,4.0
93,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-2.24
94,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-3.16
95,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-2.96
96,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-7.64
97,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.66
98,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,4.0
99,1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-5.91
100,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-2.52
101,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,-7.28
102,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-8.11
103,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,5.93
104,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-4.01
105,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.52
106,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-4.78
107,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1.41
108,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,4.12
109,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,-4.0
110,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,-6.86
111,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-3.88
112,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-9.78
113,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,8.09
114,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,3.11
115,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-5.52
116,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-0.85
117,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,0.37
118,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,2.44
119,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-5.93
120,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.58
121,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-8.39
122,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,0.44
123,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.05
124,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-2.92
125,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-3.9
126,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,4.49
127,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,1.85
128,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.93
129,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,-6.3
130,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.4
131,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.15
132,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.99
133,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,3.18
134,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,3.55
135,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-2.92
136,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-0.12
137,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.18
138,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.26
139,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-10.81
140,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-4.94
141,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,-3.12
142,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,-1.64
143,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.53
144,-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.45
145,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,5.35
146,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.91
147,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.54
148,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-5.47
149,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-4.93
150,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.66
151,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-3.93
152,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,4.64
153,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.02
154,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,9.67
155,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.51
156,1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.75
157,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-6.82
158,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,2.15
159,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,5.22
160,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,5.2
161,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.14
162,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,9.15
163,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.63
164,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,2.1
165,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,2.68
166,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.15
167,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-9.64
168,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.92
169,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.15
170,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.75
171,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-5.86
172,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,-2.99
