,binaryClass_cat,Occasion_cat,Judges_cat,Interval_cat,Sittings_cat,Position_cat,Squares_cat,Rows_cat,Columns_cat,Halfplot_cat,Trellis_cat,Method_cat
0,P,1,1,1,1,1,1,3,3,1,2,1
1,P,1,1,1,1,2,1,3,3,2,2,2
2,P,1,1,1,1,3,1,3,3,1,2,1
3,P,1,1,1,1,4,1,3,3,2,2,2
4,N,1,1,1,2,1,1,3,1,1,3,1
5,N,1,1,1,2,2,1,3,1,2,3,2
6,N,1,1,1,2,3,1,3,1,2,3,2
7,P,1,1,1,2,4,1,3,1,1,3,1
8,N,1,1,1,3,1,1,3,2,2,1,2
9,P,1,1,1,3,2,1,3,2,1,1,1
10,N,1,1,1,3,3,1,3,2,1,1,1
11,P,1,1,1,3,4,1,3,2,2,1,2
12,N,1,1,1,4,1,1,3,4,2,4,2
13,N,1,1,1,4,2,1,3,4,2,4,2
14,N,1,1,1,4,3,1,3,4,1,4,1
15,N,1,1,1,4,4,1,3,4,1,4,1
16,P,1,1,2,1,1,1,1,3,1,1,1
17,P,1,1,2,1,2,1,1,3,1,1,1
18,P,1,1,2,1,3,1,1,3,2,1,2
19,P,1,1,2,1,4,1,1,3,2,1,2
20,N,1,1,2,2,1,1,1,4,1,3,1
21,P,1,1,2,2,2,1,1,4,1,3,1
22,P,1,1,2,2,3,1,1,4,2,3,2
23,P,1,1,2,2,4,1,1,4,2,3,2
24,P,1,1,2,3,1,1,1,2,1,4,1
25,P,1,1,2,3,2,1,1,2,2,4,2
26,P,1,1,2,3,3,1,1,2,2,4,2
27,P,1,1,2,3,4,1,1,2,1,4,1
28,P,1,1,2,4,1,1,1,1,2,2,2
29,P,1,1,2,4,2,1,1,1,1,2,1
30,P,1,1,2,4,3,1,1,1,1,2,1
31,P,1,1,2,4,4,1,1,1,2,2,2
32,N,1,1,3,1,1,1,2,1,2,4,2
33,P,1,1,3,1,2,1,2,1,1,4,1
34,P,1,1,3,1,3,1,2,1,2,4,2
35,N,1,1,3,1,4,1,2,1,1,4,1
36,P,1,1,3,2,1,1,2,2,1,2,1
37,P,1,1,3,2,2,1,2,2,2,2,2
38,P,1,1,3,2,3,1,2,2,1,2,1
39,P,1,1,3,2,4,1,2,2,2,2,2
40,N,1,1,3,3,1,1,2,4,2,1,2
41,N,1,1,3,3,2,1,2,4,2,1,2
42,N,1,1,3,3,3,1,2,4,1,1,1
43,P,1,1,3,3,4,1,2,4,1,1,1
44,N,1,1,3,4,1,1,2,3,1,3,1
45,P,1,1,3,4,2,1,2,3,2,3,2
46,N,1,1,3,4,3,1,2,3,1,3,1
47,N,1,1,3,4,4,1,2,3,2,3,2
48,N,1,2,1,1,1,1,2,1,2,4,2
49,N,1,2,1,1,2,1,2,1,1,4,1
50,N,1,2,1,1,3,1,2,1,2,4,2
51,N,1,2,1,1,4,1,2,1,1,4,1
52,N,1,2,1,2,1,1,2,3,1,3,1
53,N,1,2,1,2,2,1,2,3,1,3,1
54,N,1,2,1,2,3,1,2,3,2,3,2
55,P,1,2,1,2,4,1,2,3,2,3,2
56,N,1,2,1,3,1,1,2,4,1,1,1
57,P,1,2,1,3,2,1,2,4,2,1,2
58,P,1,2,1,3,3,1,2,4,2,1,2
59,N,1,2,1,3,4,1,2,4,1,1,1
60,N,1,2,1,4,1,1,2,2,1,2,1
61,N,1,2,1,4,2,1,2,2,1,2,1
62,N,1,2,1,4,3,1,2,2,2,2,2
63,N,1,2,1,4,4,1,2,2,2,2,2
64,N,1,2,2,1,1,1,3,2,1,1,1
65,P,1,2,2,1,2,1,3,2,1,1,1
66,N,1,2,2,1,3,1,3,2,2,1,2
67,N,1,2,2,1,4,1,3,2,2,1,2
68,N,1,2,2,2,1,1,3,1,2,3,2
69,N,1,2,2,2,2,1,3,1,1,3,1
70,N,1,2,2,2,3,1,3,1,2,3,2
71,N,1,2,2,2,4,1,3,1,1,3,1
72,N,1,2,2,3,1,1,3,3,1,2,1
73,N,1,2,2,3,2,1,3,3,2,2,2
74,P,1,2,2,3,3,1,3,3,2,2,2
75,P,1,2,2,3,4,1,3,3,1,2,1
76,N,1,2,2,4,1,1,3,4,2,4,2
77,N,1,2,2,4,2,1,3,4,1,4,1
78,N,1,2,2,4,3,1,3,4,2,4,2
79,N,1,2,2,4,4,1,3,4,1,4,1
80,N,1,2,3,1,1,1,1,2,1,4,1
81,N,1,2,3,1,2,1,1,2,2,4,2
82,N,1,2,3,1,3,1,1,2,1,4,1
83,N,1,2,3,1,4,1,1,2,2,4,2
