,binaryClass_cat,body_weight_num,brain_weight_num,max_life_span_num,gestation_time_num,predation_index_num,sleep_exposure_index_num,danger_index_num
0,P,6654.0,5712.0,38.6,645.0,3.0,5.0,3.0
1,P,1.0,6.6,4.5,42.0,3.0,1.0,3.0
2,N,3.385,44.5,14.0,60.0,1.0,1.0,1.0
3,N,0.92,5.7,,25.0,5.0,2.0,3.0
4,P,2547.0,4603.0,69.0,624.0,3.0,5.0,4.0
5,P,10.55,179.5,27.0,180.0,4.0,4.0,4.0
6,N,0.023,0.3,19.0,35.0,1.0,1.0,1.0
7,P,160.0,169.0,30.4,392.0,4.0,5.0,4.0
8,N,3.3,25.6,28.0,63.0,1.0,2.0,1.0
9,P,52.16,440.0,50.0,230.0,1.0,1.0,1.0
10,N,0.425,6.4,7.0,112.0,5.0,4.0,4.0
11,P,465.0,423.0,30.0,281.0,5.0,5.0,5.0
12,P,0.55,2.4,,,2.0,1.0,2.0
13,P,187.1,419.0,40.0,365.0,5.0,5.0,5.0
14,P,0.075,1.2,3.5,42.0,1.0,1.0,1.0
15,P,3.0,25.0,50.0,28.0,2.0,2.0,2.0
16,N,0.785,3.5,6.0,42.0,2.0,2.0,2.0
17,N,0.2,5.0,10.4,120.0,2.0,2.0,2.0
18,P,1.41,17.5,34.0,,1.0,2.0,1.0
19,N,60.0,81.0,7.0,,1.0,1.0,1.0
20,N,529.0,680.0,28.0,400.0,5.0,5.0,5.0
21,P,27.66,115.0,20.0,148.0,5.0,5.0,5.0
22,N,0.12,1.0,3.9,16.0,3.0,1.0,2.0
23,N,207.0,406.0,39.3,252.0,1.0,4.0,1.0
24,P,85.0,325.0,41.0,310.0,1.0,3.0,1.0
25,N,36.33,119.5,16.2,63.0,1.0,1.0,1.0
26,N,0.101,4.0,9.0,28.0,5.0,1.0,3.0
27,P,1.04,5.5,7.6,68.0,5.0,3.0,4.0
28,P,521.0,655.0,46.0,336.0,5.0,5.0,5.0
29,N,100.0,157.0,22.4,100.0,1.0,1.0,1.0
30,N,35.0,56.0,16.3,33.0,3.0,5.0,4.0
31,P,0.005,0.14,2.6,21.5,5.0,2.0,4.0
32,N,0.01,0.25,24.0,50.0,1.0,1.0,1.0
33,P,62.0,1320.0,100.0,267.0,1.0,1.0,1.0
34,N,0.122,3.0,,30.0,2.0,1.0,1.0
35,N,1.35,8.1,,45.0,3.0,1.0,3.0
36,N,0.023,0.4,3.2,19.0,4.0,1.0,3.0
37,N,0.048,0.33,2.0,30.0,4.0,1.0,3.0
38,N,1.7,6.3,5.0,12.0,2.0,1.0,1.0
39,N,3.5,10.8,6.5,120.0,2.0,1.0,1.0
40,N,250.0,490.0,23.6,440.0,5.0,5.0,5.0
41,N,0.48,15.5,12.0,140.0,2.0,2.0,2.0
42,N,10.0,115.0,20.2,170.0,4.0,4.0,4.0
43,N,1.62,11.4,13.0,17.0,2.0,1.0,2.0
44,P,192.0,180.0,27.0,115.0,4.0,4.0,4.0
45,P,2.5,12.1,18.0,31.0,5.0,5.0,5.0
46,N,4.288,39.2,13.7,63.0,2.0,2.0,2.0
47,N,0.28,1.9,4.7,21.0,3.0,1.0,3.0
48,P,4.235,50.4,9.8,52.0,1.0,1.0,1.0
49,P,6.8,179.0,29.0,164.0,2.0,3.0,2.0
50,P,0.75,12.3,7.0,225.0,2.0,2.0,2.0
51,P,3.6,21.0,6.0,225.0,3.0,2.0,3.0
52,P,14.83,98.2,17.0,150.0,5.0,5.0,5.0
53,P,55.5,175.0,20.0,151.0,5.0,5.0,5.0
54,N,1.4,12.5,12.7,90.0,2.0,2.0,2.0
55,P,0.06,1.0,3.5,,3.0,1.0,2.0
56,N,0.9,2.6,4.5,60.0,2.0,1.0,2.0
57,P,2.0,12.3,7.5,200.0,3.0,1.0,3.0
58,N,0.104,2.5,2.3,46.0,3.0,2.0,2.0
59,P,4.19,58.0,24.0,210.0,4.0,3.0,4.0
60,N,3.5,3.9,3.0,14.0,2.0,1.0,1.0
61,N,4.05,17.0,13.0,38.0,3.0,1.0,1.0
