,binaryClass_cat,sat_num,takers_num,income_num,years_num,public_num,expend_num
0,N,1088.0,3.0,326.0,16.79,87.8,25.6
1,N,1075.0,2.0,264.0,16.07,86.2,19.95
2,N,1068.0,3.0,317.0,16.57,88.3,20.62
3,N,1045.0,5.0,338.0,16.3,83.9,27.14
4,N,1045.0,5.0,293.0,17.25,83.6,21.05
5,N,1033.0,8.0,263.0,15.91,93.7,29.48
6,N,1028.0,7.0,343.0,17.41,78.3,24.84
7,N,1022.0,4.0,333.0,16.57,75.2,17.42
8,N,1017.0,5.0,328.0,16.01,97.0,25.96
9,N,1011.0,10.0,304.0,16.85,77.3,27.69
10,N,1001.0,5.0,358.0,15.95,74.2,20.07
11,N,999.0,4.0,295.0,15.49,86.4,15.71
12,N,999.0,9.0,330.0,15.72,61.2,14.58
13,N,997.0,8.0,316.0,15.92,79.5,22.19
14,N,995.0,7.0,285.0,16.18,92.1,17.8
15,N,988.0,3.0,315.0,16.76,67.9,15.36
16,N,985.0,6.0,330.0,16.61,71.4,15.69
17,N,983.0,16.0,333.0,16.83,88.3,26.56
18,N,982.0,19.0,309.0,16.23,87.5,26.53
19,N,981.0,11.0,314.0,15.98,80.9,19.14
20,P,977.0,14.0,347.0,15.8,74.6,24.41
21,N,975.0,5.0,394.0,16.85,44.8,19.72
22,N,975.0,10.0,322.0,16.42,67.7,20.79
23,N,973.0,10.0,335.0,16.5,80.7,24.61
24,N,968.0,7.0,292.0,17.08,90.6,18.16
25,N,964.0,6.0,313.0,16.37,69.6,13.84
26,P,958.0,16.0,306.0,16.52,71.5,21.43
27,P,925.0,56.0,248.0,16.35,78.1,20.33
28,P,923.0,31.0,401.0,15.32,96.5,50.1
29,N,917.0,18.0,288.0,14.73,89.1,21.79
30,P,908.0,40.0,261.0,14.48,92.1,30.49
31,P,904.0,54.0,225.0,16.5,84.2,20.17
32,P,899.0,36.0,293.0,15.52,83.0,25.94
33,P,897.0,42.0,277.0,16.95,67.9,27.81
34,P,896.0,69.0,287.0,16.75,76.8,26.97
35,P,896.0,59.0,236.0,16.86,80.4,33.58
36,P,890.0,46.0,208.0,16.05,85.7,20.55
37,P,889.0,39.0,255.0,15.91,80.5,22.62
38,P,889.0,50.0,312.0,16.9,80.4,25.41
39,P,888.0,52.0,295.0,16.08,88.8,22.23
40,P,888.0,65.0,246.0,16.79,80.7,31.74
41,P,885.0,50.0,241.0,17.27,78.6,27.98
42,P,877.0,59.0,228.0,16.67,79.7,25.59
43,P,869.0,64.0,269.0,16.37,80.6,27.91
44,P,868.0,32.0,303.0,14.95,91.7,19.55
45,P,860.0,48.0,258.0,14.39,90.2,17.93
46,P,857.0,47.0,277.0,16.4,67.6,21.21
47,P,827.0,47.0,224.0,15.31,92.8,19.92
48,P,823.0,51.0,250.0,15.55,86.5,16.52
49,P,790.0,48.0,214.0,15.42,88.1,15.6
