,binaryClass_cat,bsal_num,sal77_num,fsex_cat,senior_num,age_num,educ_cat
0,P,5040.0,12420.0,0,96.0,329.0,15
1,P,6300.0,12060.0,0,82.0,357.0,15
2,P,6000.0,15120.0,0,67.0,315.0,15
3,P,6000.0,16320.001,0,97.0,354.0,12
4,P,6000.0,12300.0,0,66.0,351.0,12
5,P,6840.0,10380.0,0,92.0,374.0,15
6,P,8100.0,13979.999,0,66.0,369.0,16
7,P,6000.0,10140.0,0,82.0,363.0,12
8,N,6000.0,12360.0,0,88.0,555.0,12
9,N,6900.0,10920.0,0,75.0,416.0,15
10,N,6900.0,10920.0,0,89.0,481.0,12
11,P,5400.0,12660.001,0,91.0,331.0,15
12,P,6000.0,12960.0,0,66.0,355.0,15
13,P,6000.0,12360.0,0,86.0,348.0,15
14,N,5100.0,8940.0,1,95.0,640.0,15
15,N,4800.0,8580.0,1,98.0,774.0,12
16,N,5280.0,8760.0,1,98.0,557.0,8
17,P,5280.0,8040.0,1,88.0,745.0,8
18,P,4800.0,9000.0,1,77.0,505.0,12
19,P,4800.0,8820.0,1,76.0,482.0,12
20,P,5400.0,13320.0,1,86.0,329.0,15
21,P,5520.0,9600.0,1,82.0,558.0,12
22,P,5400.0,8940.0,1,88.0,338.0,12
23,P,5700.0,9000.0,1,76.0,667.0,12
24,P,3900.0,8760.0,1,98.0,327.0,12
25,N,4800.0,9780.0,1,75.0,619.0,12
26,N,6120.0,9360.0,1,78.0,624.0,12
27,N,5220.0,7860.0,1,70.0,671.0,8
28,P,5100.0,9660.0,1,66.0,554.0,8
29,P,4380.0,9600.0,1,92.0,305.0,8
30,P,4290.0,9180.001,1,69.0,280.0,12
31,N,5400.0,9540.0,1,66.0,534.0,15
32,P,4380.0,10380.0,1,92.0,305.0,12
33,N,5400.0,8640.0,1,65.0,603.0,8
34,P,5400.0,11880.0,1,66.0,302.0,12
35,P,4500.0,12540.001,1,96.0,366.0,8
36,P,5400.0,8400.0,1,70.0,628.0,12
37,N,5520.0,8880.0,1,67.0,694.0,12
38,P,5640.0,10080.0,1,90.0,368.0,12
39,N,4800.0,9240.0,1,73.0,590.0,12
40,N,5400.0,8640.0,1,66.0,771.0,8
41,P,4500.0,7980.0,1,80.0,298.0,12
42,P,5400.0,11940.0,1,77.0,325.0,12
43,P,5400.0,9420.0,1,72.0,589.0,15
44,P,6300.0,9780.0,1,66.0,394.0,12
45,P,5160.0,10680.001,1,87.0,320.0,12
46,N,5100.0,11160.0,1,98.0,571.0,15
47,P,4800.0,8340.0,1,79.0,602.0,8
48,N,5400.0,9600.0,1,98.0,568.0,12
49,P,4020.0,9840.0,1,92.0,528.0,10
50,N,4980.0,8700.0,1,74.0,718.0,8
51,N,5280.0,9780.0,1,88.0,653.0,12
52,N,5700.0,8280.0,1,65.0,714.0,15
53,N,4800.0,8340.0,1,87.0,647.0,12
54,P,4800.0,13560.0,1,82.0,338.0,12
55,P,5700.0,10260.0,1,82.0,362.0,15
56,P,4380.0,9720.0,1,93.0,303.0,12
57,P,4380.0,10500.001,1,89.0,310.0,12
58,P,5400.0,10680.001,0,88.0,359.0,12
59,N,5400.0,11640.0,0,96.0,474.0,12
60,N,5100.0,7860.0,0,84.0,535.0,12
61,P,6600.0,11220.0,0,66.0,369.0,15
62,N,5100.0,8700.0,0,97.0,637.0,12
63,N,6600.0,12240.001,0,83.0,536.0,15
64,P,5700.0,11220.0,0,94.0,392.0,15
65,P,6000.0,12180.0,0,91.0,364.0,12
66,N,6000.0,11580.0,0,83.0,521.0,15
67,N,6000.0,8940.0,0,80.0,686.0,12
68,P,6000.0,10680.001,0,87.0,364.0,15
69,P,4620.0,11100.0,0,77.0,293.0,12
70,P,5220.0,10080.0,0,85.0,344.0,12
71,P,6600.0,15360.001,0,83.0,340.0,15
72,P,5400.0,12600.0,0,78.0,305.0,12
73,N,6000.0,8940.0,0,78.0,659.0,8
74,N,5400.0,9480.0,0,88.0,690.0,15
75,P,6000.0,14400.0,0,96.0,402.0,16
76,P,5700.0,10620.0,1,88.0,410.0,15
77,P,5400.0,10320.0,1,78.0,584.0,15
78,P,4440.0,9600.0,1,97.0,341.0,15
79,N,6300.0,10860.001,1,84.0,662.0,15
80,N,6000.0,9720.0,1,69.0,488.0,12
81,P,5100.0,9600.0,1,85.0,406.0,12
82,P,4800.0,11100.0,1,87.0,349.0,12
83,N,5100.0,10020.001,1,87.0,508.0,16
84,N,5700.0,9780.0,1,74.0,542.0,12
85,N,5400.0,10440.0,1,72.0,604.0,12
86,P,5100.0,10560.0,1,84.0,458.0,12
87,N,4800.0,9240.0,1,84.0,571.0,16
88,P,6000.0,11940.0,1,86.0,486.0,15
89,P,4380.0,10020.001,1,93.0,313.0,8
90,N,5580.0,7860.0,1,69.0,600.0,12
91,P,4620.0,9420.0,1,96.0,385.0,12
92,N,5220.0,8340.0,1,70.0,468.0,12
