,binaryClass_cat,livestocktype_cat,country_cat
0,P,Cattle,Albania
1,P,Cattle,Austria
2,P,Cattle,Belgium
3,P,Cattle,Bulgaria
4,P,Cattle,Czechoslovakia
5,P,Cattle,Denmark
6,P,Cattle,West_Germany
7,P,Cattle,Finland
8,N,Cattle,France
9,P,Cattle,East_Germany
10,P,Cattle,Greece
11,P,Cattle,Hungary
12,P,Cattle,Ireland
13,P,Cattle,Italy
14,P,Cattle,Netherlands
15,P,Cattle,Norway
16,P,Cattle,Poland
17,P,Cattle,Portugal
18,P,Cattle,Romania
19,P,Cattle,Spain
20,P,Cattle,Sweden
21,P,Cattle,Switzerland
22,P,Cattle,Turkey
23,P,Cattle,United_Kingdom
24,N,Cattle,Russia_et_al.
25,P,Cattle,Yugoslavia
26,P,Pigs,Albania
27,P,Pigs,Austria
28,P,Pigs,Belgium
29,P,Pigs,Bulgaria
30,P,Pigs,Czechoslovakia
31,P,Pigs,Denmark
32,N,Pigs,West_Germany
33,P,Pigs,Finland
34,P,Pigs,France
35,P,Pigs,East_Germany
36,P,Pigs,Greece
37,P,Pigs,Hungary
38,P,Pigs,Ireland
39,P,Pigs,Italy
40,P,Pigs,Netherlands
41,P,Pigs,Norway
42,N,Pigs,Poland
43,P,Pigs,Portugal
44,P,Pigs,Romania
45,P,Pigs,Spain
46,P,Pigs,Sweden
47,P,Pigs,Switzerland
48,P,Pigs,Turkey
49,P,Pigs,United_Kingdom
50,N,Pigs,Russia_et_al.
51,P,Pigs,Yugoslavia
52,P,Poultry,Albania
53,P,Poultry,Austria
54,N,Poultry,Belgium
55,N,Poultry,Bulgaria
56,N,Poultry,Czechoslovakia
57,P,Poultry,Denmark
58,N,Poultry,West_Germany
59,P,Poultry,Finland
60,N,Poultry,France
61,N,Poultry,East_Germany
62,N,Poultry,Greece
63,N,Poultry,Hungary
64,P,Poultry,Ireland
65,N,Poultry,Italy
66,N,Poultry,Netherlands
67,P,Poultry,Norway
68,N,Poultry,Poland
69,P,Poultry,Portugal
70,N,Poultry,Romania
71,N,Poultry,Spain
72,P,Poultry,Sweden
73,P,Poultry,Switzerland
74,N,Poultry,Turkey
75,N,Poultry,United_Kingdom
76,N,Poultry,Russia_et_al.
77,N,Poultry,Yugoslavia
78,P,Horses,Albania
79,P,Horses,Austria
80,P,Horses,Belgium
81,P,Horses,Bulgaria
82,P,Horses,Czechoslovakia
83,P,Horses,Denmark
84,P,Horses,West_Germany
85,P,Horses,Finland
86,P,Horses,France
87,P,Horses,East_Germany
88,P,Horses,Greece
89,P,Horses,Hungary
90,P,Horses,Ireland
91,P,Horses,Italy
92,P,Horses,Netherlands
93,P,Horses,Norway
94,P,Horses,Poland
95,P,Horses,Portugal
96,P,Horses,Romania
97,P,Horses,Spain
98,P,Horses,Sweden
99,P,Horses,Switzerland
100,P,Horses,Turkey
101,P,Horses,United_Kingdom
102,P,Horses,Russia_et_al.
103,P,Horses,Yugoslavia
104,P,Sheep,Albania
105,P,Sheep,Austria
106,P,Sheep,Belgium
107,P,Sheep,Bulgaria
108,P,Sheep,Czechoslovakia
109,P,Sheep,Denmark
110,P,Sheep,West_Germany
111,P,Sheep,Finland
112,P,Sheep,France
113,P,Sheep,East_Germany
114,P,Sheep,Greece
115,P,Sheep,Hungary
116,P,Sheep,Ireland
117,P,Sheep,Italy
118,P,Sheep,Netherlands
119,P,Sheep,Norway
120,P,Sheep,Poland
121,P,Sheep,Portugal
122,P,Sheep,Romania
123,P,Sheep,Spain
124,P,Sheep,Sweden
125,P,Sheep,Switzerland
126,N,Sheep,Turkey
127,N,Sheep,United_Kingdom
128,N,Sheep,Russia_et_al.
129,P,Sheep,Yugoslavia
